src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
5.203.165.59,10.1.0.4,2918,443,6,2022-05-01 20:08:06,93876880.0,4752.51201360761,5.13438452577461,3.3661110168978774,1.768273508876733,316,166,22137,424014,624,60,70.05379746835443,69.26088283181586,4236,54,2554.3012048192772,797.2343570864407,4236,54,925.6244813278008,1271.0179481604075,1615486.6245458922,6320,3320,20,314,195170.2286902287,75637252.0,0.0,3486962.11515719,93876880.0,75637252.0,0.0,298021.84126984124,4305323.786055583,84696906.0,75689960.0,3.0,513314.58181818185,5902639.974872796,9,150,0,0,2,4,1,159,480,0,0,0.5253164556962026,925.6244813278008,22304,501,75629395.0,99.0,9300011.111111112,23577213.893845104,75584597.0,12035.0,7735605.75,20694197.89034981,75.1304347826087,12.521739130434783,38102.666666666664,14.0,206822.2621184919210053859964,27466880.25630756908289947938,70.05379746835443,2554.3012048192772,0,316,166,22137,424014
5.203.250.215,10.1.0.4,2528,443,6,2022-05-01 20:08:04,104330816.0,352.44620343044187,0.4121505193633298,0.21086770758123852,0.20128281178209131,22,21,3213,33558,635,60,146.04545454545453,188.27723206936756,2830,54,1598.0,1321.7784556098218,2830,54,855.1395348837209,1182.424776729175,1398128.3526230394,440,420,20,8,2484067.0476190476,96868359.0,0.0,14779836.076544972,104329617.0,96868359.0,0.0,4968077.0,20604526.878426254,104330769.0,103960441.0,5.0,5216538.45,22653422.401348412,5,14,0,0,0,4,1,19,41,0,0,0.9545454545454546,855.1395348837209,22304,501,96867128.0,22998.0,24243815.0,41929090.44859596,89776313.0,34652.0,16171335.166666666,33016638.988811854,0,0,15882.0,6.0,0,18717737.18326458456098998232,146.04545454545453,1598.0,0,22,21,3213,33558
5.203.250.215,10.1.0.4,2526,443,6,2022-05-01 20:08:04,104347328.0,22834.269412245994,21.888437814143167,3.028347788646778,18.860090025496387,316,1968,46623,2336072,1292,60,147.54113924050634,141.53814247727473,2842,54,1187.0284552845528,244.79296504395754,2842,54,1043.2114711033275,428.03877615986477,183217.1938964348,2792,15972,8,305,45706.23215067893,62688043.0,0.0,1436268.0902385896,104347312.0,62688043.0,0.0,331261.3079365079,3854385.033079783,104347298.0,68869876.0,5.0,53048.956786985254,1725791.977325163,5,12,0,0,0,4,1,17,39,0,0,6.227848101265823,1043.2114711033275,22304,501,62685752.0,4652.0,2909523.0322580645,11863592.041498885,56532098.0,5589.0,2314046.8974358975,9401571.43994326,851.25,6.2,32343.159420289856,28.043478260869566,1827501.073422069557750107342,112404452.5032738994661025486,147.54113924050634,1187.0284552845528,0,316,1968,46623,2336072
5.203.165.59,10.1.0.4,2887,443,17,2022-05-01 20:08:06,136888002.0,16441.477464182728,15.84507019103106,2.1258254613139873,13.719244729717072,291,1878,43862,2206779,1292,66,150.72852233676977,154.40200078454336,1242,66,1175.0686900958467,216.72753974767167,1292,66,1037.6399262332873,407.12977722260945,165754.65550133158,2340,15024,8,290,63140.220018450185,134826010.0,-3.0,2894956.006881521,136888002.0,134826010.0,0.0,472027.5931034483,7903199.168107561,1974668.0,178125.0,6.0,1052.034096963239,9002.340789592712,0,0,0,0,0,1,0,0,0,0,0,6.453608247422681,1037.6399262332873,22304,0,131714.0,995.0,35069.65625,31420.665987540524,134801861.0,5307.0,3398613.375,21041379.561014857,1391.4,8.266666666666667,25482.22891566265,22.397590361445783,21877358.49056603773584905660,107618429.7562713071795654607,150.72852233676977,1175.0686900958467,0,291,1878,43862,2206779
5.203.165.59,10.1.0.4,2881,443,6,2022-05-01 20:08:42,100833685.0,816.7211185428758,1.071070644695768,0.6743778133269651,0.396692831368803,68,40,6383,75970,684,60,93.86764705882354,127.61867653422055,2842,54,1899.25,1231.6842077009837,2842,54,762.5277777777778,1154.2115030066366,1332204.193672839,1360,800,20,66,942370.8878504672,90116343.0,0.0,8712709.848004417,100833685.0,90116343.0,0.0,1504980.3731343283,10972001.489628512,100780423.0,90170028.0,4.0,2584113.4102564105,14293476.458022112,7,28,0,0,2,4,0,35,106,0,0,0.5882352941176471,762.5277777777778,22304,501,90099289.0,11154.0,20015743.0,35242612.44486059,90062709.0,10841.0,14304486.57142857,31109187.182239298,43.714285714285715,7.285714285714286,16728.0,6.333333333333333,385876.4186633039092055485498,33657947.68611670020120724346,93.86764705882354,1899.25,0,68,40,6383,75970
5.203.250.215,10.1.0.4,2518,443,6,2022-05-01 20:08:28,120815174.0,261.05164571463513,0.3641926634149449,0.2317589676276922,0.1324336957872527,28,16,4241,27298,1292,66,151.46428571428572,260.71035955947866,2830,66,1706.125,1300.5838052101833,2830,66,716.7954545454545,1103.4717646745135,1217649.9354338846,548,320,8,4,2809655.2093023257,111882092.0,0.0,16879737.28960556,120815174.0,111882092.0,0.0,4474636.074074074,21126289.68086887,8879998.0,8633467.0,9.0,591999.8666666667,2149348.268572805,3,11,0,0,2,2,0,14,42,0,0,0.5714285714285714,716.7954545454545,22304,501,8527535.0,814.0,2150122.25,3682046.327618745,111829034.0,20148.0,24096516.2,43989234.79561456,0,0,13008.0,5.0,0,18464158.97799858055358410220,151.46428571428572,1706.125,0,28,16,4241,27298
5.203.165.59,10.1.0.4,2903,443,6,2022-05-01 20:08:06,147457778.0,10.165621782256885,0.07459762481976366,0.04747121579439506,0.027126409025368607,7,4,1053,446,623,60,150.42857142857142,193.893827458562,272,54,111.5,92.79412696932926,623,54,136.27272727272728,165.5470770226518,27405.834710743802,140,80,20,5,14745777.8,136402934.0,0.0,40680794.63417561,147457778.0,136402934.0,0.0,24576296.333333332,50165867.478191905,197683.0,133841.0,11082.0,65894.33333333333,50969.44218080302,2,1,0,0,0,3,1,3,9,0,0,0.5714285714285714,136.27272727272728,22304,501,0,0,0,0,125545794.0,28224.0,27288917.6,49304059.10951299,0,0,0,0,0,0,150.42857142857142,111.5,0,7,4,1053,446
5.203.165.59,10.1.0.4,2907,443,6,2022-05-01 20:08:06,147845115.0,10.138989035924522,0.07440218772192778,0.04734684673213586,0.02705534098979192,7,4,1053,446,623,60,150.42857142857142,193.893827458562,272,54,111.5,92.79412696932926,623,54,136.27272727272728,165.5470770226518,27405.834710743802,140,80,20,5,14784511.5,136770154.0,0.0,40790202.48323168,147845115.0,136770154.0,0.0,24640852.5,50301088.25031056,205877.0,131020.0,22127.0,68625.66666666667,45854.302061590206,2,1,0,0,0,3,1,3,9,0,0,0.5714285714285714,136.27272727272728,22304,501,0,0,0,0,125901079.0,25374.0,27360149.2,49446213.9968733,0,0,0,0,0,0,150.42857142857142,111.5,0,7,4,1053,446
5.203.165.59,10.1.0.4,2932,443,6,2022-05-01 20:08:06,157289906.0,43.187768196644484,0.14622680237344665,0.08264993177629593,0.06357687059715071,13,10,1932,4861,684,60,148.6153846153846,193.08250068560307,2842,54,486.1,874.7180631494928,2842,54,295.3478260869565,617.8408130913343,381727.2703213611,260,200,20,11,7149541.181818182,149238939.0,0.0,31048010.451483335,157289906.0,149238939.0,0.0,13107492.166666666,41099890.12338145,7998164.0,7786689.0,5.0,888684.8888888889,2439056.845776546,4,3,0,0,2,3,0,7,21,0,0,0.7692307692307693,295.3478260869565,22304,501,7680917.0,205.0,2577497.3333333335,3608723.106113512,149186154.0,51450.0,39242857.75,63552143.99701743,0,0,0,0,0,0,148.6153846153846,486.1,0,13,10,1932,4861
5.203.250.215,10.1.0.4,2476,443,6,2022-05-01 20:08:37,134259777.0,1687.7132158501945,1.8248205491954599,1.1917195423317288,0.6331010068637309,160,85,13461,213131,1292,66,84.13125,120.21341033111696,4212,66,2507.423529411765,815.1781526898504,4212,66,924.8653061224489,1253.1936484969392,1570494.3206330698,3188,1700,8,5,550244.987704918,126047112.0,0.0,8065056.336642227,134259777.0,126047112.0,0.0,844401.1132075472,9978442.344198002,8160122.0,7601257.0,4.0,97144.30952380953,823980.341646932,4,75,0,0,2,2,0,79,243,0,0,0.53125,924.8653061224489,22304,501,7495852.0,147.0,1519764.0,2988090.7640941567,125994620.0,15846.0,22274322.0,46465053.99148229,0,0,40284.2,15.2,0,26257463.17298918002867944205,84.13125,2507.423529411765,0,160,85,13461,213131
