src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
85.75.109.194,10.1.0.4,50674,443,6,2022-05-01 20:15:51,10155441.0,9954.17136488706,6.203571070916566,2.6586733161071,3.5448977548094662,27,36,1620,99469,60,60,60.0,0.0,2958,295,2763.027777777778,578.5031204233095,2958,60,1604.5873015873017,1407.3201780860934,1980550.0836482735,540,720,20,27,163797.43548387097,9893288.0,0.0,1245814.4786708895,10155441.0,9893288.0,0.0,390593.8846153846,1900650.7852693575,198902.0,59411.0,3.0,5682.914285714286,16254.585103236788,0,33,0,0,0,0,1,33,63,0,0,1.3333333333333333,1604.5873015873017,1029,501,57492.0,6577.0,46199.8,19846.02689104295,9892234.0,8211.0,1687381.1666666667,3669363.3989320006,0,0,12100.0,4.333333333333333,0,33150684.93150684931506849315,60.0,2763.027777777778,0,27,36,1620,99469
85.75.109.194,10.1.0.4,50678,443,6,2022-05-01 20:15:51,10152105.0,1789.5795995017781,1.5760278287113854,0.9850173929446159,0.5910104357667695,10,6,600,17568,60,60,60.0,0.0,2958,2778,2928.0,67.08203932499369,2958,60,1135.5,1389.0720823628988,1929521.25,200,120,20,10,676807.0,10087309.0,0.0,2515103.407633253,10152105.0,10087309.0,0.0,1128011.6666666667,3167640.23127929,2900.0,2274.0,4.0,580.0,860.9689889885698,0,6,0,0,0,0,1,6,16,0,0,0.6,1135.5,1029,501,55941.0,1546.0,28743.5,27197.5,10085114.0,56590.0,5070852.0,5014262.0,0,0,0,0,0,0,60.0,2928.0,0,10,6,600,17568
85.75.109.194,10.1.0.4,50679,443,6,2022-05-01 20:15:51,10150016.0,2479.8975686343742,2.1674842680050945,1.2807861583666469,0.8866981096384478,13,9,780,24391,60,60,60.0,0.0,2958,1506,2710.1111111111113,490.1365896800706,2958,60,1144.1363636363637,1340.1521045102088,1796007.6632231413,260,180,20,13,483334.09523809527,9975463.0,0.0,2122590.9368661623,10150016.0,9975463.0,0.0,845834.6666666666,2752784.667047756,62521.0,59524.0,4.0,7815.125,19550.65376424469,0,8,0,0,0,0,1,8,22,0,0,0.6923076923076923,1144.1363636363637,1029,501,56318.0,1592.0,21066.0,24972.554695104784,9924942.0,52622.0,3345159.0,4652609.67945138,0,0,10164.0,4.0,0,44973451.32743362831858407080,60.0,2710.1111111111113,0,13,9,780,24391
85.75.109.194,10.1.0.4,50680,443,6,2022-05-01 20:15:51,10141020.0,1196.3293633184828,1.084703511086656,0.6902658706915084,0.39443764039514767,7,4,420,11712,60,60,60.0,0.0,2958,2838,2928.0,51.96152422706632,2958,60,1102.909090909091,1379.9948257179317,1904385.7190082646,140,80,20,7,1014102.0,10078368.0,0.0,3021479.124062253,10141020.0,10078368.0,0.0,1690170.0,3751385.9448459847,277.0,265.0,5.0,92.33333333333333,122.0965009963658,0,4,0,0,0,0,1,4,11,0,0,0.5714285714285714,1102.909090909091,1029,501,0,0,0,0,10016014.0,62354.0,5039184.0,4976830.0,0,0,11496.0,4.0,0,41501805.05415162454873646209,60.0,2928.0,0,7,4,420,11712
85.75.109.194,10.1.0.4,50764,443,17,2022-05-01 20:15:51,920070.0,2596631.77801689,2500.8966709054744,359.755236014651,2141.1414348908233,331,1970,43607,2345476,446,87,131.74320241691842,97.2598160565389,1242,65,1190.5969543147207,198.38682920213247,1242,65,1038.2803129074316,416.09758418502395,173137.19956461308,2648,15760,8,331,400.0304347826087,102262.0,0.0,3399.173548780041,920070.0,102262.0,0.0,2788.090909090909,8645.371350012347,832514.0,127439.0,6.0,422.810563737938,4169.6179558303265,0,0,0,0,0,0,0,0,0,0,0,5.95166163141994,1038.2803129074316,0,0,100911.0,4850.0,25590.5,23553.348002081206,84001.0,5238.0,19834.315789473683,17361.822072862935,513.7142857142857,4.904761904761905,24269.815217391304,21.032608695652176,587389.7419144070565174779484,128544789.8675877950489349453,131.74320241691842,1190.5969543147207,0,331,1970,43607,2345476
85.75.109.194,10.1.0.4,52383,443,17,2022-05-01 20:15:57,350612.0,160661.9282853981,196.7987404880609,51.338801866450666,145.45993862161023,18,51,4171,52159,1242,84,231.72222222222223,361.4456783460853,1242,85,1022.7254901960785,399.87012982066926,1242,84,816.3768115942029,522.4055590802514,272907.56815795,144,408,8,18,5156.058823529412,80802.0,0.0,17190.21314575651,350612.0,88893.0,0.0,20624.235294117647,31518.225863644282,279787.0,87245.0,6.0,5595.74,18919.525619644905,0,0,0,0,0,0,0,0,0,0,0,2.8333333333333335,816.3768115942029,0,0,74359.0,56072.0,64887.333333333336,7480.047786537791,72735.0,8067.0,50708.4,22161.429589266118,0,0,6361.857142857143,6.571428571428571,0,75351945.85448392554991539763,231.72222222222223,1022.7254901960785,0,18,51,4171,52159
85.75.109.194,10.1.0.4,38403,443,17,2022-05-01 20:15:57,358647.0,157282.7878108558,195.17798838412145,50.18862558448837,144.98936279963306,18,52,4171,52238,1242,84,231.72222222222223,361.4456783460853,1242,85,1004.5769230769231,414.6470392511725,1242,84,805.8428571428572,524.7973659481557,275412.27530612255,144,416,8,18,5197.782608695652,74489.0,0.0,14994.349419629998,358647.0,77670.0,0.0,21096.882352941175,26265.005001919664,280843.0,74837.0,7.0,5506.725490196079,16218.413315539347,0,0,0,0,0,0,0,0,0,0,0,2.888888888888889,805.8428571428572,0,0,72226.0,31107.0,45512.333333333336,18908.804692229725,48718.0,11323.0,30275.666666666668,14387.047631656593,171.0,4.0,10792.5,10.5,112352.1681997371879106438896,107388059.7014925373134328358,231.72222222222223,1004.5769230769231,0,18,52,4171,52238
85.75.109.194,10.1.0.4,60089,443,17,2022-05-01 20:15:57,396780.0,141945.15852613538,173.8998941478905,45.36518977771057,128.53470437017995,18,51,4171,52150,1242,84,231.72222222222223,361.4456783460853,1242,85,1022.5490196078431,400.09475905656285,1242,84,816.2463768115942,522.4811599348559,272986.5624868725,144,408,8,18,5835.0,101901.0,0.0,19856.52782795504,396780.0,120987.0,0.0,23340.0,37453.627412480906,310189.0,101975.0,8.0,6203.78,21331.569779357542,0,0,0,0,0,0,0,0,0,0,0,2.8333333333333335,816.2463768115942,0,0,0,0,0,0,82836.0,19065.0,50950.5,31885.5,0,0,14555.666666666666,13.0,0,102988207.5471698113207547170,231.72222222222223,1022.5490196078431,0,18,51,4171,52150
85.75.109.194,10.1.0.4,43311,443,17,2022-05-01 20:15:57,384174.0,148625.36246596594,203.03300067157068,70.28065407862063,132.75234659295006,27,51,4936,52162,1242,84,182.8148148148148,303.1157995365293,1242,85,1022.7843137254902,399.79609085600714,1242,84,732.025641025641,544.0596445045664,296000.8967784352,216,408,8,27,4989.272727272727,95969.0,0.0,17490.331968095725,384174.0,120973.0,0.0,14775.923076923076,30809.077414747895,295409.0,96024.0,7.0,5908.18,19901.818734668446,0,0,0,0,0,0,0,0,0,0,0,1.8888888888888888,732.025641025641,0,0,94643.0,57419.0,70014.66666666667,17416.378198568025,70985.0,24984.0,53587.8,15253.30482747919,215.0,5.0,6411.833333333333,6.166666666666667,184866.7239896818572656921754,132202749.1408934707903780069,182.8148148148148,1022.7843137254902,0,27,51,4936,52162
85.75.109.194,10.1.0.4,54745,443,17,2022-05-01 20:15:57,705885.0,83543.3533790915,121.8328764600466,50.999808750717186,70.83306770932943,36,50,5733,53239,1242,84,159.25,265.715843942777,1242,85,1064.78,387.6081676126033,1242,84,685.7209302325581,562.5548996705305,316468.01514332066,288,400,8,36,8304.529411764706,83267.0,0.0,21777.608895154477,705885.0,110126.0,0.0,20168.14285714286,32367.97061129841,604883.0,83436.0,6.0,12344.551020408164,26286.23316107535,0,0,0,0,0,0,0,0,0,0,0,1.3888888888888888,685.7209302325581,0,0,77477.0,62826.99999999999,66539.33333333333,5009.426003933873,64977.0,27624.0,58034.125,11862.246745847728,172.0,4.0,4452.333333333333,5.666666666666667,353909.4650205761316872427984,98940740.74074074074074074074,159.25,1064.78,0,36,50,5733,53239
