src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
85.75.109.194,10.2.0.4,33897,443,17,2022-05-01 20:14:00,228484.0,219030.65422524116,240.71707428091247,70.02678524535635,170.6902890355561,16,39,5085,44960,1242,84,317.8125,447.48187375998816,1294,85,1152.820512820513,346.81494894250665,1294,84,909.9090909090909,536.0676779772316,287368.5553719009,128,312,8,16,4231.185185185185,73108.0,0.0,15933.34534526985,228484.0,82746.0,0.0,15232.266666666666,29085.066015549786,154938.0,79926.0,6.0,4077.315789473684,17134.897949575952,0,0,0,0,0,0,0,0,0,0,0,2.4375,909.9090909090909,0,0,0,0,0,0,70317.0,63499.0,66908.0,3409.0,0,0,21161.0,17.5,0,162153256.7049808429118773946,317.8125,1152.820512820513,0,16,39,5085,44960
85.75.109.194,10.2.0.4,57333,443,17,2022-05-01 20:14:00,22918397.0,4382.0691298785,4.974169877587861,1.5707904876593246,3.4033793899285367,36,78,10510,89920,1242,84,291.94444444444446,428.1873255976514,1294,85,1152.820512820513,346.81494894250653,1294,84,880.9649122807018,548.0182467480914,300323.99876885203,288,624,8,36,202817.67256637168,22471245.0,0.0,2104220.589906519,22918397.0,22471245.0,0.0,654811.3428571429,3741574.624374051,22852189.0,22539489.0,6.0,296781.67532467534,2551467.8879007855,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,880.9649122807018,0,0,22464183.0,51634.0,4539293.2,8962445.700712979,22469184.0,46430.0,3792113.1666666665,8352642.2057788065,215.0,5.0,21161.0,17.5,124277.4566473988439306358382,131027863.7770897832817337461,291.94444444444446,1152.820512820513,0,36,78,10510,89920
85.75.109.194,10.2.0.4,58393,443,17,2022-05-01 20:14:00,240452.0,207421.85550546471,220.41821236670935,58.22367873837606,162.19453362833332,14,39,4915,44960,1242,84,351.07142857142856,469.03783951613025,1294,85,1152.820512820513,346.81494894250665,1294,84,941.0377358490566,521.1193309277364,271565.3570665717,112,312,8,14,4624.076923076923,75377.0,0.0,16591.666725342944,240452.0,88172.0,0.0,18496.30769230769,31567.80402533962,162523.0,85063.0,6.0,4276.921052631579,17958.796878852227,0,0,0,0,0,0,0,0,0,0,0,2.7857142857142856,941.0377358490566,0,0,74034.0,59531.0,66782.5,7251.5,72297.0,6937.0,47281.666666666664,28800.737783759792,0,0,21182.5,18.0,0,135351437.6996805111821086262,351.07142857142856,1152.820512820513,0,14,39,4915,44960
85.75.109.194,10.2.0.4,46501,443,17,2022-05-01 20:14:00,243273.0,204667.18460330577,213.75162882851777,53.43790720712944,160.3137216213883,13,39,4830,44960,1242,84,371.53846153846155,480.6815058426646,1294,85,1152.820512820513,346.81494894250665,1294,84,957.5,512.2737962337058,262424.4423076923,104,312,8,13,4770.058823529412,83268.0,0.0,16615.07897157982,243273.0,85108.0,0.0,20272.75,32976.24190768509,171045.0,103587.0,6.0,4501.184210526316,19315.933672073974,0,0,0,0,0,0,0,0,0,0,0,3.0,957.5,0,0,63497.0,62949.00000000001,63223.0,273.99999999999636,83268.0,44443.0,62277.333333333336,16006.602519654889,0,0,21161.0,17.5,0,178573839.6624472573839662447,371.53846153846155,1152.820512820513,0,13,39,4830,44960
85.75.109.194,10.2.0.4,44648,443,17,2022-05-01 20:14:00,227678.0,218686.03905515684,228.39273008371472,57.09818252092868,171.29454756278605,13,39,4830,44960,1242,84,371.53846153846155,480.6815058426646,1294,85,1152.820512820513,346.81494894250665,1294,84,957.5,512.2737962337058,262424.4423076923,104,312,8,13,4464.274509803921,70660.0,0.0,16023.613751277662,227678.0,88552.0,0.0,18973.166666666668,32231.0323157495,159749.0,89375.0,6.0,4203.921052631579,17928.800612101866,0,0,0,0,0,0,0,0,0,0,0,3.0,957.5,0,0,0,0,0,0,70660.0,51094.0,60877.0,9783.0,899.5,4.5,21597.5,19.0,879706.6014669926650366748166,112194805.1948051948051948052,371.53846153846155,1152.820512820513,0,13,39,4830,44960
85.75.109.194,10.2.0.4,39017,443,17,2022-05-01 20:14:00,233230.0,214209.1497663251,231.53110663293745,64.31419628692707,167.2169103460104,15,39,5000,44960,1242,84,333.3333333333333,457.96836377879015,1294,85,1152.820512820513,346.81494894250665,1294,84,925.1851851851852,529.0136550108407,279855.4471879288,120,312,8,15,4400.566037735849,69570.0,0.0,15547.826644830926,233230.0,91370.0,0.0,16659.285714285714,30560.534364317868,164696.0,91115.0,5.0,4334.105263157895,18124.73946061668,0,0,0,0,0,0,0,0,0,0,0,2.6,925.1851851851852,0,0,68514.0,47565.0,58039.5,10474.5,69340.0,47795.0,58828.0,8803.421191029467,300.0,7.0,21161.0,17.5,0,114693766.9376693766937669377,333.3333333333333,1152.820512820513,0,15,39,5000,44960
85.75.109.194,10.2.0.4,53615,443,17,2022-05-01 20:14:00,48713776.0,2052.910043352008,2.2375600692502258,0.6363702949243761,1.6011897743258496,31,78,10085,89920,1242,84,325.3225806451613,452.65278205597906,1294,85,1152.820512820513,346.81494894250653,1294,84,917.4770642201835,532.6394652414198,283704.7999326656,248,624,8,31,451053.48148148146,48167322.0,0.0,4612942.463366788,48713776.0,48167322.0,0.0,1623792.5333333334,8642984.433623396,48637127.0,48245646.0,6.0,631651.0,5461741.099910472,0,0,0,0,0,0,0,0,0,0,0,2.5161290322580645,917.4770642201835,0,0,48158469.0,54165.0,12092081.75,20822940.64706687,48165954.0,48338.0,9685638.4,19240161.492262114,185.66666666666666,4.333333333333333,21182.5,18.0,169506.9993913572732805842970,118503496.5034965034965034965,325.3225806451613,1152.820512820513,0,31,78,10085,89920
85.75.109.194,10.2.0.4,39689,443,17,2022-05-01 20:14:00,257453.0,194983.1619751955,217.51543000081568,66.0314698216762,151.4839601791395,17,39,5239,44960,1242,84,308.1764705882353,435.8289242478895,1294,85,1152.820512820513,346.81494894250665,1294,84,896.4107142857143,540.6092058563493,292258.31345663266,136,312,8,17,4680.963636363636,74346.0,0.0,17010.974923655118,257453.0,100651.0,0.0,16090.8125,32889.41324388965,179451.0,100745.0,6.0,4722.394736842105,20141.71556162075,0,0,0,0,0,0,0,0,0,0,0,2.2941176470588234,896.4107142857143,0,0,72088.0,47947.0,60017.5,12070.5,74346.0,47827.0,64451.0,11825.788796806184,955.5,5.0,21597.5,19.0,1045404.814004376367614879650,84036964.98054474708171206226,308.1764705882353,1152.820512820513,0,17,39,5239,44960
85.75.109.194,10.2.0.4,53585,443,17,2022-05-01 20:14:00,254234.00000000003,197786.29136936835,224.20289969083598,70.80091569184295,153.40198399899305,18,39,5324,44960,1242,84,295.77777777777777,426.6235076551111,1294,85,1152.820512820513,346.81494894250665,1294,84,882.1754385964912,546.3323043397291,298478.9867651585,144,312,8,18,4539.892857142857,84006.0,0.0,16681.212450237213,254234.0,94335.0,0.0,14954.941176470587,31233.03485559252,181285.0,110215.0,6.0,4770.6578947368425,20571.93112020704,0,0,0,0,0,0,0,0,0,0,0,2.1666666666666665,882.1754385964912,0,0,66677.0,57797.0,62237.0,4440.0,84006.0,41889.0,63463.333333333336,17209.661517750883,342.5,5.0,21210.0,18.5,256650.4308729861371300112402,1.2625E+8,295.77777777777777,1152.820512820513,0,18,39,5324,44960
85.75.109.194,10.2.0.4,39530,443,17,2022-05-01 20:14:00,242139.0,206327.77041286204,223.01240196746497,61.947889435406935,161.06451253205805,15,39,5000,44960,1242,84,333.3333333333333,457.96836377879015,1294,85,1152.820512820513,346.81494894250665,1294,84,925.1851851851852,529.0136550108407,279855.4471879288,120,312,8,15,4568.66037735849,69539.0,6.0,15942.384316531112,242139.0,97941.0,182.0,17295.64285714286,32216.18408193342,167995.0,95479.0,6.0,4420.921052631579,18875.500198853682,0,0,0,0,0,0,0,0,0,0,0,2.6,925.1851851851852,0,0,0,0,0,0,67105.0,41165.0,54135.0,12970.0,921.0,5.0,21597.5,19.0,529310.3448275862068965517241,66761978.36166924265842349304,333.3333333333333,1152.820512820513,0,15,39,5000,44960
