src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
85.75.109.194,10.0.0.5,56949,443,6,2022-05-03 01:02:16,7575963.0,57816.41225016543,21.77940942953391,15.179588390281209,6.5998210392527,115,50,9575,428440,244,60,83.26086956521739,38.153941492561025,34902,54,8568.8,8968.379200279167,34902,54,2654.6363636363635,6291.409260726122,39581830.4859504,2300,1000,20,115,46194.89634146341,7294845.0,0.0,567802.4694596126,7575963.0,7294845.0,0.0,66455.81578947368,680043.4469833729,225166.0,47937.0,19.0,4595.224489795918,11596.425795706133,34,24,0,0,0,0,1,58,165,0,0,0.43478260869565216,2654.6363636363635,1028,16380,44553.0,13765.0,34900.666666666664,10174.011232328947,7293297.0,14933.0,1072035.5714285714,2539835.930282104,487.8,9.2,0,0,257713.4404057480980557903635,0,83.26086956521739,8568.8,0,115,50,9575,428440
85.75.109.194,10.0.0.5,55930,443,17,2022-05-03 01:02:16,561110.0,243558.30407584965,295.842169984495,108.71308656056745,187.12908342392757,61,105,7723,128940,1292,76,126.60655737704919,221.31990633607126,1514,69,1228.0,278.4211609363463,1514,69,823.2710843373494,590.7559217167463,348992.5590434025,488,840,8,61,3400.6666666666665,64005.0,0.0,9687.41496014809,561110.0,76601.0,0.0,9351.833333333334,16652.40972068474,498996.0,111356.0,0.0,4798.038461538462,14381.978917891462,0,0,0,0,0,0,0,0,0,0,0,1.721311475409836,823.2710843373494,0,0,61117.0,5693.0,27573.285714285714,22356.155398549225,54531.0,5148.0,21452.727272727272,14992.373789187312,153.75,4.5,8880.636363636364,7.181818181818182,282498.8516306844281120808452,0,126.60655737704919,1228.0,0,61,105,7723,128940
85.75.109.194,10.0.0.5,34965,443,17,2022-05-03 01:02:17,245728.0,181961.3556452663,231.96379736944914,101.73850761817945,130.22528975126968,25,32,5624,39089,1242,73,224.96,378.3668568994911,1514,92,1221.53125,286.10782324752586,1514,73,784.438596491228,594.3814422247619,353289.29886118806,200,256,8,25,4388.0,60340.0,0.0,11310.621349927182,245692.0,64860.0,0.0,10237.166666666666,18167.451606895473,245307.0,60580.0,0.0,7913.129032258064,16793.44853966327,0,0,0,0,0,0,0,0,0,0,0,1.28,784.438596491228,0,0,53778.0,8498.0,31088.2,16963.858315843125,55820.0,8438.0,24298.428571428572,19303.317915079064,1317.0,4.0,5888.0,5.0,0,0,224.96,1221.53125,0,25,32,5624,39089
85.75.109.194,10.0.0.5,54909,443,17,2022-05-03 01:02:17,254554.99999999997,176743.72925301018,235.70544676003223,98.2106028166801,137.49484394335215,25,35,5624,39367,1242,73,224.96,378.3668568994911,1514,91,1124.7714285714285,417.6474990579828,1514,73,749.85,598.4927965314203,358193.62750000006,200,280,8,25,4314.4915254237285,53116.0,0.0,9891.606074066258,254526.0,60646.0,0.0,10605.25,15865.022130066507,254210.0,60056.0,0.0,7476.764705882353,15456.358748688714,0,0,0,0,0,0,0,0,0,0,0,1.4,749.85,0,0,46504.0,6935.0,24053.6,17780.997436589434,52526.0,5255.0,22517.666666666668,18975.552101468762,0,0,3892.0,4.0,0,0,224.96,1124.7714285714285,0,25,35,5624,39367
85.75.109.194,10.0.0.5,33643,443,17,2022-05-03 01:02:17,238955.0,188571.0698667113,255.27819045426963,112.99198593877509,142.28620451549455,27,34,5776,39284,1242,73,213.92592592592592,366.16773387048505,1514,91,1155.4117647058824,383.77085056573094,1514,73,738.688524590164,600.0980395580623,360117.65708142973,216,272,8,27,3982.5833333333335,54256.0,0.0,10423.513139838646,238922.0,65207.0,0.0,9189.307692307691,17641.670158526616,238709.0,63669.0,0.0,7233.606060606061,16251.314783061249,0,0,0,0,0,0,0,0,0,0,0,1.2592592592592593,738.688524590164,0,0,49988.0,21767.0,37840.666666666664,11850.971277588274,52718.0,19184.0,34650.25,13849.696212823586,0,0,3892.0,4.0,0,0,213.92592592592592,1155.4117647058824,0,27,34,5776,39284
85.75.109.194,10.0.0.5,38358,443,17,2022-05-03 01:02:17,256089.0,174150.39302742406,214.7690841855761,82.00274123449269,132.7663429510834,21,34,5324,39274,1242,73,253.52380952380952,406.6089286546447,1514,91,1155.1176470588234,383.8338921296618,1514,73,810.8727272727273,588.2742729078752,346066.62016528926,168,272,8,21,4742.388888888889,60261.0,0.0,11515.458057528207,255551.0,66944.0,0.0,12777.55,20141.91608431283,255869.0,71462.0,0.0,7753.606060606061,17270.89415477432,0,0,0,0,0,0,0,0,0,0,0,1.619047619047619,810.8727272727273,0,0,49060.0,18580.0,38103.333333333336,13839.519098902565,60261.0,14428.0,34684.75,18654.621429755683,0,0,3892.0,4.0,0,0,253.52380952380952,1155.1176470588234,0,21,34,5324,39274
85.75.109.194,10.0.0.5,49525,443,17,2022-05-03 01:02:17,249432.0,179668.20616440554,232.5283043073864,96.21860867891851,136.3096956284679,24,34,5546,39269,1242,73,231.08333333333334,384.9538843232466,1514,91,1154.9705882352941,383.86819776141283,1514,73,772.6724137931035,595.6078433265504,354748.7030321047,192,272,8,24,4376.0,55778.0,0.0,10573.359000875906,249386.0,56848.0,0.0,10842.869565217392,17306.758298684177,249120.0,60170.0,0.0,7549.090909090909,15778.364454864244,0,0,0,0,0,0,0,0,0,0,0,1.4166666666666667,772.6724137931035,0,0,51386.0,3918.9999999999995,26775.4,18685.28170084679,55778.0,6189.0,20810.285714285714,19817.125831060406,385.0,4.0,5888.0,5.0,550786.8383404864091559370529,0,231.08333333333334,1154.9705882352941,0,24,34,5546,39269
85.75.109.194,10.0.0.5,55786,443,17,2022-05-03 01:02:17,251954.99999999997,178623.1668353476,238.1377626957195,99.22406778988312,138.91369490583637,25,35,5626,39379,1242,73,225.04,378.3351403187391,1514,91,1125.1142857142856,416.8044263151705,1514,73,750.0833333333334,598.2376142099021,357888.24305555556,200,280,8,25,4270.423728813559,58687.0,0.0,10518.350678216877,251860.0,72481.0,0.0,10494.166666666666,18681.193271725326,251687.0,65475.00000000001,0.0,7402.558823529412,16592.970553097224,0,0,0,0,0,0,0,0,0,0,0,1.4,750.0833333333334,0,0,49614.0,12802.0,33434.333333333336,15354.706473550345,51681.0,11773.0,30476.25,17982.78931888766,0,0,3892.0,4.0,0,0,225.04,1125.1142857142856,0,25,35,5626,39379
85.75.109.194,10.0.0.5,35559,443,17,2022-05-03 01:02:17,251392.99999999997,177121.0813348025,214.8031170318983,79.55671001181418,135.2464070200841,20,34,5252,39275,1242,73,262.6,414.56946341958184,1514,91,1155.1470588235295,383.3837834762002,1514,73,824.574074074074,584.7846897807094,341973.1334019205,160,272,8,20,4743.264150943396,60179.0,0.0,11915.42781146461,251339.0,67532.0,0.0,13228.368421052632,21444.313593487783,250757.0,72733.0,0.0,7598.69696969697,17503.167203411984,0,0,0,0,0,0,0,0,0,0,0,1.7,824.574074074074,0,0,48065.0,19336.0,38342.0,13440.471891517302,60179.0,17373.0,36634.0,16281.60558728776,385.0,4.0,3892.0,4.0,0,0,262.6,1155.1470588235295,0,20,34,5252,39275
85.75.109.194,10.0.0.5,33559,443,17,2022-05-03 01:02:17,246506.0,181492.53973534112,231.23169415754586,93.30401694076411,137.92767721678175,23,34,5476,39263,1242,73,238.08695652173913,391.7350383417985,1514,91,1154.7941176470588,384.2805178980404,1514,73,784.8947368421053,593.5230433224606,352269.60295475536,184,272,8,23,4401.892857142857,57553.0,0.0,11297.211036481798,246482.0,65370.0,0.0,11203.727272727272,19491.949492457876,246236.0,67648.0,0.0,7461.69696969697,16825.78791074176,0,0,0,0,0,0,0,0,0,0,0,1.4782608695652173,784.8947368421053,0,0,47458.0,23721.0,39127.333333333336,10905.964311126072,57553.0,16992.0,36253.25,16004.676463068536,1585.0,5.0,4309.333333333333,4.0,7406542.056074766355140186916,60981132.07547169811320754717,238.08695652173913,1154.7941176470588,0,23,34,5476,39263
