src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
5.203.255.68,10.0.0.5,4006,443,6,2022-05-07 01:13:13,197216521.0,4241.196405650011,3.884055940729225,3.0727648826134604,0.8112910581157651,606,160,44265,792169,1448,66,73.04455445544555,81.13831035731378,20796,66,4951.05625,4451.048447061202,20796,66,1091.9503916449087,2841.745152524998,8075515.511899324,12108,3200,8,9,257799.37385620916,188169835.0,0.0,6805389.762830369,197216521.0,188169835.0,0.0,325977.72066115704,7651095.326606009,9002135.0,8566580.0,4.0,56617.201257861634,677095.2839040671,8,149,0,0,2,2,0,157,764,0,0,0.264026402640264,1091.9503916449087,22304,501,8478097.0,18063.0,1088532.125,2793000.321564627,188125339.0,17557.0,21875343.555555556,58837810.90233144,0,0,67641.63636363637,12.818181818181818,0,30199610.35798360256514327462,73.04455445544555,4951.05625,0,606,160,44265,792169
85.75.109.194,10.0.0.5,62024,443,17,2022-05-07 01:12:29,1538190.0,9400.009101606434,16.252868631313426,8.451491688282982,7.801376943030445,13,12,3466,10993,1292,71,266.61538461538464,437.42191188151827,1481,66,916.0833333333334,572.7155283287584,1481,66,578.36,601.8476803976235,362220.63039999997,104,96,8,13,64091.25,246483.0,0.0,83296.5958414318,1538190.0,328609.0,0.0,128182.5,135975.78806261797,1455229.0,326922.0,10.0,132293.54545454544,141987.54130323845,0,0,0,0,0,0,0,0,0,0,0,0.9230769230769231,578.36,0,0,164357.0,1697.0,93767.0,63702.02870395887,168090.0,31325.0,114152.14285714286,56133.04298190295,0,0,0,0,0,0,266.61538461538464,916.0833333333334,0,13,12,3466,10993
85.75.109.194,10.0.0.5,53581,443,6,2022-05-07 01:12:29,10427329.0,78412.69801691305,56.77388715748779,26.948416032523763,29.825471124964025,281,311,19777,797858,571,60,70.38078291814946,42.72148718154247,2958,54,2565.459807073955,807.0319868541461,2958,54,1381.1402027027027,1376.727009635323,1895377.2590594187,5620,6220,20,280,17643.534686971234,9015822.0,0.0,370528.48157955386,10427329.0,9015822.0,0.0,37240.46071428571,537640.651392683,1366595.0,67476.0,4.0,4408.370967741936,10390.644752005668,34,253,0,0,0,2,1,287,591,0,0,1.106761565836299,1381.1402027027027,64240,501,44819.0,15671.999999999998,31626.83870967742,5764.680351470547,9014284.0,15521.0,312382.9375,1562918.4023294959,356.6,5.0,12340.6,5.0,807884.0054372451291345718169,22453784.57059679767103347889,70.38078291814946,2565.459807073955,0,281,311,19777,797858
85.75.109.194,10.0.0.5,58210,443,17,2022-05-07 01:12:40,1559421.0,13080.495902004655,23.085491345826433,10.26021837592286,12.825272969903574,16,20,4524,15874,1399,68,282.75,430.99891241162084,1481,68,793.7,603.8956118403246,1481,68,566.6111111111111,591.2928527001836,349627.23765432107,128,160,8,16,44554.885714285716,251623.0,0.0,72110.98746902838,1559421.0,306914.0,0.0,103961.4,113043.36546936311,1505106.0,309801.0,5.0,79216.1052631579,113820.79235863197,0,0,0,0,0,0,0,0,0,0,0,1.25,566.6111111111111,0,0,197218.0,25311.0,127156.66666666667,71606.98640418328,196460.0,7765.0,93838.11111111111,74994.2988373034,0,0,4325.5,4.5,0,47016304.34782608695652173913,282.75,793.7,0,16,20,4524,15874
5.203.255.68,10.0.0.5,4053,443,17,2022-05-07 01:15:10,92021244.0,9174.09897218951,8.237228351314181,6.509366467595244,1.727861883718938,599,159,42876,801336,1292,60,71.57929883138564,105.64327146985715,18176,54,5039.8490566037735,4597.2854352805325,18176,54,1113.736147757256,2921.2639453773113,8533783.038561415,11812,3024,8,598,121560.42800528402,73771023.0,0.0,2705187.03583281,92021244.0,73771023.0,0.0,153881.67892976588,3043159.3897436154,82215453.0,73930732.0,4.0,520350.9683544304,5867244.005409071,7,136,0,0,0,2,1,143,730,0,0,0.2654424040066778,1113.736147757256,22304,501,73769881.0,39059.0,10071529.625,24090050.230206136,73707398.0,16320.0,7528094.0,20122748.187148847,135.72727272727272,16.848484848484848,38999.333333333336,8.222222222222221,835478.4555120313374370453274,36787967.71826852531181217902,71.57929883138564,5039.8490566037735,0,599,159,42876,801336
5.203.255.68,10.0.0.5,3974,443,6,2022-05-07 01:12:44,9111656.0,91632.41017878638,83.62914491065071,66.94721574212195,16.68192916852875,610,152,43303,791620,1448,66,70.98852459016393,64.94960113801392,20796,66,5208.026315789473,4927.2883488782845,20796,66,1095.6994750656168,3010.0187655129134,9060212.968739882,12200,3040,20,7,11973.266754270697,8628000.0,0.0,312563.5157401969,9111656.0,8628000.0,0.0,14961.668308702792,349336.65835305507,9072223.0,8666830.0,4.0,60080.94701986755,702804.5136687367,7,145,0,0,2,2,0,152,761,0,0,0.24918032786885247,1095.6994750656168,22304,501,22607.0,8627.0,18979.0,4392.024492515626,8625033.0,8266.0,1095106.625,2846057.6491832933,0,0,47333.71428571428,9.214285714285714,0,32237400.27242654212881883635,70.98852459016393,5208.026315789473,0,610,152,43303,791620
5.203.255.68,10.0.0.5,3989,443,17,2022-05-07 01:12:44,8839558.0,1646.236157961744,2.9413235367650734,1.583789596719655,1.3575339400454185,14,12,3552,11000,1292,71,253.71428571428572,424.06239914350675,1481,66,916.6666666666666,572.4670781412286,1481,66,559.6923076923077,597.755788134687,357311.98224852077,112,96,8,14,353582.32,6515097.0,0.0,1264612.0280479612,8839558.0,6515097.0,0.0,679966.0,1696257.0194515833,2218809.0,485906.0,5.0,201709.9090909091,216329.46095857612,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,559.6923076923077,0,0,291464.0,84221.0,198486.14285714287,97161.42920114011,6409765.0,18667.0,790450.0,1876036.233693955,0,0,0,0,0,0,253.71428571428572,916.6666666666666,0,14,12,3552,11000
85.75.109.194,10.0.0.5,53437,443,17,2022-05-07 01:12:51,1416540.0,10214.325045533484,17.64863681929208,9.17729114603188,8.471345673260197,13,12,3465,11004,1292,71,266.53846153846155,437.4498855490351,1481,66,917.0,572.3279945392618,1481,66,578.76,601.9491194444926,362342.74239999993,104,96,8,13,59022.5,209817.0,0.0,73426.95047346943,1416540.0,293459.0,0.0,118045.0,123201.79633363035,1336567.0,291520.0,5.0,121506.09090909091,129424.75612666334,0,0,0,0,0,0,0,0,0,0,0,0.9230769230769231,578.76,0,0,127274.0,32267.999999999996,85518.66666666667,39655.10465108987,158615.0,19847.0,90366.125,45672.79515870881,0,0,0,0,0,0,266.53846153846155,917.0,0,13,12,3465,11004
85.75.109.194,10.0.0.5,55801,443,6,2022-05-07 01:12:51,9469389.0,86062.36368576685,57.76507861278061,25.344824254236467,32.42025435854415,240,307,17317,797641,571,60,72.15416666666667,45.99308353044932,2958,54,2598.1791530944624,834.6019651407923,2958,54,1489.8683729433271,1401.1194952887993,1963135.84007834,4800,6140,20,239,17343.203296703297,8087726.0,0.0,345795.5956151388,9469389.0,8087726.0,0.0,39620.87447698745,521817.0663893118,1336732.0,64227.99999999999,4.0,4368.40522875817,10848.749522192258,34,262,0,0,0,2,1,296,546,0,0,1.2791666666666666,1489.8683729433271,64240,501,47658.0,3711.0,24189.2,12341.715210270759,8082388.0,6720.0,235114.42105263157,1290140.6535307372,357.6,5.6,13808.857142857143,5.071428571428571,344575.0626324918095972248988,18570989.43323727185398655139,72.15416666666667,2598.1791530944624,0,240,307,17317,797641
5.203.255.68,10.0.0.5,4004,443,6,2022-05-07 01:12:54,8038302.0,103649.1288831895,92.05924335761458,73.02537277151319,19.033870586101393,587,153,41785,791378,1208,66,71.1839863713799,61.51550170238863,18032,66,5172.40522875817,4446.057530136092,18032,66,1125.8959459459459,2891.0124012251517,8357952.704037617,11740,3060,20,7,10877.269282814614,7544723.0,0.0,277362.9158221954,8038302.0,7544723.0,0.0,13717.238907849829,311414.00223174633,7998773.0,7584431.0,3.0,52623.50657894737,613016.9251194305,7,140,0,0,2,2,0,147,739,0,0,0.2606473594548552,1125.8959459459459,22304,501,37228.0,5738.0,26817.571428571428,9145.49848453392,7541679.0,5444.0,966555.75,2485179.9373481367,0,0,55452.07142857143,10.285714285714286,0,37160930.54425350629457661194,71.1839863713799,5172.40522875817,0,587,153,41785,791378
5.203.255.68,10.0.0.5,4015,443,17,2022-05-07 01:12:54,7759581.0,1875.3589916775145,3.3506963842506443,1.8042211299811164,1.5464752542695281,14,12,3553,10999,1292,71,253.78571428571428,424.0375958014351,1481,66,916.5833333333334,572.502177336956,1481,66,559.6923076923077,597.7191757152781,357268.2130177515,112,96,8,14,310383.24,5339779.0,0.0,1036292.6612155961,7759581.0,5339779.0,0.0,596890.8461538461,1385058.893099265,2324619.0,515302.99999999994,4.0,211329.0,228615.36565236302,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,559.6923076923077,0,0,319005.0,70407.0,233722.0,115056.01489419548,5244796.0,46719.0,842763.875,1667729.9543055852,0,0,0,0,0,0,253.78571428571428,916.5833333333334,0,14,12,3553,10999
5.203.253.63,10.0.0.5,3381,443,6,2022-05-07 01:13:00,598096.0,1388116.6234183141,1304.1384660656483,971.4159599796689,332.72250608597955,581,199,38176,792051,1448,60,65.70740103270224,67.69952671685371,5630,54,3980.1557788944724,1685.6952492133248,5630,54,1064.3935897435897,1907.959540427319,3640309.607907627,11620,3980,20,580,767.7740693196406,63703.0,0.0,5251.615092389076,598096.0,63702.99999999999,0.0,1031.2,6200.2819820191835,558468.0,103214.0,3.0,2820.5454545454545,12009.236358932301,11,189,0,0,2,2,0,200,779,0,0,0.342512908777969,1064.3935897435897,22304,501,37689.0,17157.0,29178.0,7709.690493139137,61874.0,10346.0,30069.166666666668,18178.003020286786,80.85714285714286,11.306122448979592,33120.92307692308,8.384615384615385,465460.5263157894736842105263,40851233.39658444022770398482,65.70740103270224,3980.1557788944724,0,581,199,38176,792051
5.203.253.63,10.0.0.5,3335,443,17,2022-05-07 01:13:01,8939405.0,1792.1774435770612,3.24406378276854,1.5660997571986053,1.6779640255699344,14,15,4121,11900,1399,68,294.35714285714283,456.9078692914012,1481,67,793.3333333333334,609.5820061502982,1481,67,552.448275862069,595.9489440181412,355155.1438763377,112,120,8,14,319264.46428571426,7153252.0,0.0,1318598.0522866615,8939405.0,7153252.0,0.0,687646.5384615385,1871317.037518953,1714200.0,395547.0,3.0,122442.85714285714,155996.43108456823,0,0,0,0,0,0,0,0,0,0,0,1.0714285714285714,552.448275862069,0,0,251112.0,62488.0,153012.85714285713,80187.66130847344,7081840.0,44476.0,822434.2,2087503.347401522,0,0,4895.0,4.0,0,69928571.42857142857142857143,294.35714285714283,793.3333333333334,0,14,15,4121,11900
