src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
85.75.109.194,10.0.0.5,38126,443,6,2022-05-07 01:15:51,5042430.0,8734.677526510035,11.8990248749115,5.94951243745575,5.94951243745575,30,30,2778,41266,583,60,92.6,93.20178825179983,2946,66,1375.5333333333333,1347.1513335759853,2946,60,734.0666666666667,1150.3178382033761,1323231.1288888888,600,600,20,9,85464.91525423729,4741093.0,0.0,611469.4453749886,5042430.0,4741093.0,0.0,173876.89655172414,863318.9665967091,4992734.0,4788643.0,3.0,172163.24137931035,872595.4387029241,7,19,0,0,2,2,2,26,57,0,0,1.0,734.0666666666667,64240,506,44353.0,41930.0,43090.75,979.2273420917127,4739631.0,41156.0,982691.2,1878470.5114348107,0,0,11615.0,5.666666666666667,0,10185618.24028061970184156679,92.6,1375.5333333333333,0,30,30,2778,41266
85.75.109.194,10.0.0.5,38130,443,6,2022-05-07 01:15:51,5041207.0,8749.888667535373,12.10027677895393,5.950955792928162,6.149320986025767,30,31,2778,41332,583,60,92.6,93.20178825179983,2946,66,1333.2903225806451,1294.6149058397546,2946,60,723.1147540983607,1113.8889502050347,1240748.593388874,600,620,20,9,84020.11666666667,4740629.0,0.0,606378.1750981283,5041207.0,4740629.0,0.0,173834.72413793104,863217.8454590066,4991568.0,4787095.0,3.0,166385.6,858190.2448915626,7,18,0,0,2,2,2,25,58,0,0,1.0333333333333334,723.1147540983607,64240,506,42167.0,34100.0,38727.8,2724.2263782586056,4739609.0,33024.0,822378.0,1751842.8952747637,190.0,4.0,10200.0,5.5,0,9859835.669405509908168197197,92.6,1333.2903225806451,0,30,31,2778,41332
85.75.109.194,10.0.0.5,38128,443,6,2022-05-07 01:15:51,5049464.0,8644.085788115332,10.694204374959401,5.1490613657211926,5.545143009238208,26,28,2514,41134,583,60,96.6923076923077,100.29409417031387,2946,66,1469.0714285714287,1346.5533231331078,2946,60,808.2962962962963,1189.6361664411525,1415234.2085048014,520,560,20,8,95272.90566037736,4613730.0,0.0,626814.6819512688,5049464.0,4613730.0,0.0,201978.56,900779.6788702589,5000496.0,4668884.0,2.0,185203.55555555556,879684.8980311214,6,19,0,0,2,2,2,25,51,0,0,1.0769230769230769,808.2962962962963,64240,506,48956.0,11640.0,31814.0,13686.978088679765,4597201.0,9791.0,795466.6666666666,1700238.3776713652,0,0,10153.0,4.333333333333333,0,10207439.67828418230563002681,96.6923076923077,1469.0714285714287,0,26,28,2514,41134
85.75.109.194,10.0.0.5,38134,443,6,2022-05-07 01:15:51,5038351.0,8672.083386012608,10.916270025649267,5.35889619440964,5.557373831239627,27,28,2580,41113,583,60,95.55555555555556,98.58980990591243,2946,66,1468.3214285714287,1222.8390284664683,2946,60,794.4181818181818,1112.2045706353433,1236999.0069421486,540,560,20,8,93302.79629629629,4618220.0,0.0,621910.5442074023,5038351.0,4618220.0,0.0,193782.73076923078,885353.077117327,4987945.0,4665683.0,3.0,184738.7037037037,879427.2280401357,6,16,0,0,2,2,2,22,52,0,0,1.037037037037037,794.4181818181818,64240,506,115455.0,44108.0,69585.33333333333,32501.118404688103,4617176.0,43327.0,965395.2,1825928.6905676683,254.0,4.0,9706.0,5.0,477443.6090225563909774436090,16122923.58803986710963455150,95.55555555555556,1468.3214285714287,0,27,28,2580,41113
85.75.109.194,10.0.0.5,38132,443,6,2022-05-07 01:15:51,5035079.0,8721.21370886137,11.519183710920922,5.759591855460461,5.759591855460461,29,29,2712,41200,583,60,93.51724137931035,94.66187401689243,2946,66,1420.6896551724137,1295.2840216684278,2946,60,757.1034482758621,1133.0081365878696,1283707.4375743163,580,580,20,9,88334.71929824562,4663026.0,0.0,611520.9883643092,5035079.0,4663026.0,0.0,179824.25,863044.0539522064,4984823.0,4720998.0,3.0,178029.39285714287,874619.9132721,7,17,0,0,2,2,2,24,55,0,0,1.0,757.1034482758621,64240,506,60525.0,40623.0,46325.0,8232.488050401287,4652673.0,7101.0,692618.0,1616746.4314971773,0,0,11607.0,5.0,0,12582113.82113821138211382114,93.51724137931035,1420.6896551724137,0,29,29,2712,41200
85.75.109.194,10.0.0.5,38136,443,6,2022-05-07 01:15:51,5042108.0,8722.34390853984,11.701455026350091,5.949892386279707,5.751562640070383,30,29,2778,41201,583,60,92.6,93.20178825179984,2946,66,1420.7241379310344,1347.6765419903818,2946,60,745.4067796610169,1156.7164239249673,1337992.8853777647,600,580,20,9,86932.89655172414,4685415.0,0.0,609240.4363975287,5042108.0,4685415.0,0.0,173865.7931034483,852800.319513485,4995088.0,4733950.0,3.0,178396.0,876939.5344239614,7,19,0,0,2,2,2,26,56,0,0,0.9666666666666667,745.4067796610169,64240,506,45751.0,4652.0,27879.833333333332,15056.569899511936,4683601.0,5903.0,539188.2222222222,1465332.8984235614,190.0,4.0,8880.0,6.0,0,6311300.639658848614072494670,92.6,1420.7241379310344,0,30,29,2778,41201
85.75.109.194,10.0.0.5,38138,443,6,2022-05-07 01:15:51,5038537.0,8684.465351747938,11.114337356260359,5.358698368196959,5.7556389880634,27,29,2580,41177,583,60,95.55555555555556,97.79772523800537,2946,66,1419.896551724138,1244.6088249845768,2946,60,781.375,1115.6653133972827,1244709.091517857,540,580,20,9,91609.76363636364,4676241.0,0.0,624079.3495485814,5038537.0,4676241.0,0.0,193789.88461538462,896713.3802569644,4990593.0,4726383.0,4.0,178235.4642857143,875592.7821141059,7,17,0,0,2,2,2,24,53,0,0,1.0740740740740742,781.375,64240,506,49167.0,8798.0,37392.0,14519.132797794777,4672515.0,9913.0,810533.5,1727179.6254020357,194.0,4.0,10633.0,4.666666666666667,402489.6265560165975103734440,49455813.95348837209302325581,95.55555555555556,1419.896551724138,0,27,29,2580,41177
85.75.109.194,10.0.0.5,38142,443,6,2022-05-07 01:15:51,5039158.0,8722.885847199077,11.708305236708197,5.953375544088914,5.754929692619283,30,29,2778,41178,583,60,92.6,93.20178825179983,2946,66,1419.9310344827586,1294.3195504557725,2946,60,745.0169491525423,1126.133515453643,1268176.6946279805,600,580,20,9,86882.03448275862,4690038.0,0.0,609862.7238728561,5039158.0,4690038.0,0.0,173764.06896551725,853687.182279597,4992698.0,4740830.0,3.0,178310.64285714287,878303.5648929059,7,17,0,0,2,2,2,24,56,0,0,0.9666666666666667,745.0169491525423,64240,506,44177.0,9076.0,31481.0,12157.647436901598,4686297.0,7609.0,692491.8571428572,1630512.8890077525,254.0,5.0,10353.0,7.0,4884615.384615384615384615385,9794701.986754966887417218543,92.6,1419.9310344827586,0,30,29,2778,41178
85.75.109.194,10.0.0.5,38140,443,6,2022-05-07 01:15:51,5036048.0,8759.050747729172,12.11267247651333,6.155620438883823,5.957052037629507,31,30,2844,41267,583,60,91.74193548387096,91.8065876271293,2946,66,1375.5666666666666,1294.8311520125787,2946,60,723.1311475409836,1113.9009797268282,1240775.3926363878,620,600,20,9,83934.13333333333,4734905.0,0.0,605652.7234887296,5036048.0,4734905.0,0.0,167868.26666666666,848262.6091833406,4989578.0,4787244.0,3.0,172054.41379310345,872339.9735420904,7,18,0,0,2,2,2,25,58,0,0,0.967741935483871,723.1311475409836,64240,506,44266.0,33975.0,40817.4,3999.036263901591,4732488.0,34785.0,823165.3333333334,1748305.761801185,190.0,4.0,10200.0,5.5,0,14335910.04919184820801124385,91.74193548387096,1375.5666666666666,0,31,30,2844,41267
85.75.109.194,10.0.0.5,38144,443,6,2022-05-07 01:15:51,5038155.0,8728.989084297724,11.710636135648864,5.954560746940101,5.756075388708764,30,29,2778,41200,583,60,92.6,93.20178825179983,2946,66,1420.6896551724137,1295.2840216684278,2946,60,745.3898305084746,1126.90185783178,1269907.7971847176,600,580,20,9,86864.74137931035,4695810.0,0.0,610630.659160267,5038155.0,4695810.0,0.0,173729.4827586207,854795.3738488253,4991070.0,4743472.0,2.0,178252.5,878797.2406793723,7,17,0,0,2,2,2,24,56,0,0,0.9666666666666667,745.3898305084746,64240,506,45384.0,6662.0,29723.0,15914.044091095555,4691076.0,9010.0,696306.8571428572,1630918.4554624802,254.0,5.0,10080.0,4.0,599056.6037735849056603773585,40159362.54980079681274900398,92.6,1420.6896551724137,0,30,29,2778,41200
