src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
5.203.255.68,10.2.0.4,3999,443,17,2022-05-07 01:12:32,123286370.0,6666.36547089512,6.31051104838272,1.1761235244415096,5.134387523941211,145,633,24482,797390,1292,66,168.84137931034482,200.04467348870088,1294,66,1259.6998420221169,174.7233288909721,1294,66,1056.3907455012854,461.24151396791405,212743.73420741342,1172,5064,8,144,158669.71685971686,122536895.0,0.0,4393127.731510139,123286370.0,122536895.0,0.0,856155.3472222222,10175467.497975914,642176.0,130039.99999999999,6.0,1016.1012658227849,8397.349676971906,0,0,0,0,0,1,0,0,0,0,0,4.36551724137931,1056.3907455012854,22304,0,87408.0,7481.0,44699.5,31678.82911109563,122526998.0,7431.0,11180353.636363637,35210914.35102179,776.8888888888889,7.444444444444445,27189.678571428572,22.142857142857142,4930888.575458392101551480959,110175253.2561505065123010130,168.84137931034482,1259.6998420221169,0,145,633,24482,797390
5.203.255.68,10.2.0.4,4018,443,6,2022-05-07 01:12:54,101254451.0,702.4086279426866,0.8987259236633459,0.5629382159209969,0.335787707742349,57,34,7192,63930,1292,66,126.17543859649123,206.81699027621715,2830,66,1880.2941176470588,1219.602238181434,2830,66,781.5604395604396,1141.3275402089303,1302628.5540393672,1128,668,8,6,1125049.4555555556,91893631.0,0.0,9664860.062742671,101254213.0,91893631.0,0.0,1808110.9464285714,12201943.104061931,101254377.0,91946390.0,3.0,3068314.4545454546,15783316.60163577,5,25,0,0,2,2,0,30,88,0,0,0.5964912280701754,781.5604395604396,22304,501,8682386.0,1248.0,1463734.0,3228311.7788089076,91841110.0,7862.0,14382290.714285715,31763022.157855324,0,0,17777.0,7.333333333333333,0,16892936.33196072220462464365,126.17543859649123,1880.2941176470588,0,57,34,7192,63930
5.203.255.68,10.2.0.4,4023,443,6,2022-05-07 01:12:51,120987038.0,63.86634574854209,0.12398022340211354,0.08265348226807569,0.041326741134037843,10,5,2407,5320,1292,60,240.7,381.55210653330164,2842,54,1064.0,1243.7916224191254,2842,54,515.1333333333333,873.7016170040865,763354.5155555555,188,100,8,9,8641931.285714285,112873115.0,0.0,28980564.241195615,120987038.0,112873115.0,0.0,13443004.222222222,35241007.153037645,149087.0,84925.0,7.0,37271.75,33774.832622642265,2,2,0,0,0,2,1,4,13,0,0,0.5,515.1333333333333,22304,501,41189.0,20599.0,30894.0,10295.0,104908298.0,41288.0,28233725.75,44384990.37536829,24.0,4.0,0,0,0,0,240.7,1064.0,0,10,5,2407,5320
5.203.255.68,10.2.0.4,4044,443,6,2022-05-07 01:13:03,109324459.0,2047.7942634959666,2.286770977755307,1.481827593585439,0.8049433841698681,162,88,12222,211652,621,60,75.44444444444444,83.92456930680868,2842,54,2405.1363636363635,909.5254904446577,2842,54,895.496,1238.440268234201,1533734.297984,3240,1760,20,128,439054.0522088353,100924966.0,0.0,6399326.2078693425,109324459.0,100924966.0,0.0,679033.9068322981,7948068.437842962,109271873.0,108659222.0,3.0,1255998.5402298851,11581603.866382854,6,74,0,0,0,4,1,80,248,0,0,0.5432098765432098,895.496,22304,502,100917738.0,3476.0,20201650.0,40358047.40968747,93243298.0,10682.0,14437289.857142856,32278976.58295066,58.5,9.75,20118.25,7.75,180834.6213292117465224111283,29504307.97433547204399633364,75.44444444444444,2405.1363636363635,0,162,88,12222,211652
5.203.255.68,10.2.0.4,4046,443,6,2022-05-07 01:13:03,109664141.0,204.48799211403116,0.39210629480059483,0.23708752708873176,0.15501876771186307,26,17,3856,18569,630,60,148.30769230769232,189.13848594060735,2842,54,1092.2941176470588,1243.3094245840475,2842,54,521.5116279069767,919.6663290789415,845786.1568415359,520,340,20,19,2611050.976190476,101310295.0,0.0,15460037.271045329,109664141.0,101310295.0,0.0,4386565.64,19843212.36976589,109611250.0,109177718.0,5.0,6850703.125,26420746.085196074,6,9,0,0,0,4,1,15,41,0,0,0.6538461538461539,521.5116279069767,22304,501,101309188.0,1168.0,25341964.25,43859699.3548806,93495533.0,13157.0,14490530.714285715,32363690.82913491,33.0,5.5,8927.0,4.0,68965.51724137931034482758621,6717080.511662904439428141460,148.30769230769232,1092.2941176470588,0,26,17,3856,18569
5.203.255.68,10.2.0.4,3993,443,6,2022-05-07 01:12:38,137185410.0,1392.4148347845446,1.5890902684184858,1.0350954959423164,0.5539947724761694,142,76,10802,180217,618,60,76.07042253521126,89.02584273383404,2842,54,2371.2763157894738,953.6715008556782,2842,54,876.2339449541284,1232.2786178696558,1518510.5920587494,2840,1520,20,139,632190.8156682028,64230440.0,-1.0,5720272.275050838,137185410.0,64230440.0,0.0,972946.1702127659,7072984.751693917,62980370.0,62432844.0,4.0,839738.2666666667,7160080.521393934,6,63,0,0,0,5,2,69,215,0,0,0.5352112676056338,876.2339449541284,22304,501,53720928.0,396.0,10767891.4,21476527.75374468,54308457.0,15454.0,14758737.125,20658133.373761915,50.57142857142857,8.428571428571429,16729.125,6.25,188850.3600960256068284875967,24811457.17463848720800889878,76.07042253521126,2371.2763157894738,0,142,76,10802,180217
5.203.255.68,10.2.0.4,4025,443,6,2022-05-07 01:12:54,127195477.0,1422.8493360656214,1.5566591255442204,1.014187006036386,0.5424721195078344,129,69,10892,170088,1292,66,84.43410852713178,125.9922382844523,2830,66,2465.0434782608695,839.7646052987345,2830,66,914.040404040404,1242.1019324068075,1542817.2104887255,2568,1380,8,4,645662.3197969543,118232841.0,0.0,8420713.841987919,127195477.0,118232841.0,0.0,993714.6640625,10430083.081702206,8910054.0,8541523.0,4.0,131030.20588235294,1027655.8685872477,3,59,0,0,2,2,0,62,196,0,0,0.5348837209302325,914.040404040404,22304,501,8436033.0,7609.0,1719558.2,3358280.334530719,118180280.0,8562.0,21138438.666666668,43507899.531826235,0,0,33061.6,12.6,0,18903144.65408805031446540881,84.43410852713178,2465.0434782608695,0,129,69,10892,170088
5.203.255.68,10.2.0.4,4066,443,6,2022-05-07 01:13:03,118660766.0,722.7325668873569,0.9270123875654065,0.5899169739052587,0.3370954136601478,70,40,7554,78206,619,60,107.91428571428571,147.8786899413689,2842,54,1955.15,1188.851137653491,2842,54,779.6363636363636,1147.8180068545294,1317486.1768595043,1400,800,20,63,1088630.880733945,111112035.0,0.0,10606582.296186477,118660759.0,111112035.0,0.0,1719721.1449275361,13290278.53539679,118660721.0,117925525.0,4.0,3042582.5897435895,18636505.663216013,8,29,0,0,0,4,1,37,108,0,0,0.5714285714285714,779.6363636363636,22304,506,111087111.0,12012.0,22242330.0,44422392.75875556,104351085.0,10754.0,13908058.75,34253994.81790524,50.0,8.333333333333334,14272.0,5.75,105005.2502625131256562828141,22890136.32718524458700882117,107.91428571428571,1955.15,0,70,40,7554,78206
5.203.255.68,10.2.0.4,4047,443,6,2022-05-07 01:13:03,137712135.0,80.87159493969068,0.15975353225044403,0.10166133870482802,0.05809219354561601,14,8,1963,9174,602,60,140.21428571428572,182.88176452538502,2842,54,1146.75,1218.242971455202,2842,54,506.22727272727275,891.853021513899,795401.811983471,280,160,20,12,6557720.714285715,129643204.0,0.0,27572636.713408854,137712135.0,129643204.0,0.0,10593241.153846154,34428875.21759206,208252.0,94943.0,4.0,29750.285714285714,34855.78091718702,3,4,0,0,0,3,1,7,20,0,0,0.5714285714285714,506.22727272727275,22304,501,46616.0,98.0,19196.0,19881.697513039475,121835481.0,10814.0,25940119.2,48040768.90800191,24.0,4.0,0,0,0,0,140.21428571428572,1146.75,0,14,8,1963,9174
5.203.255.68,10.2.0.4,4042,443,6,2022-05-07 01:13:50,91119960.0,9832.543824646104,9.822216778848453,2.5131705501187662,7.309046228729687,229,666,32132,863809,1292,66,140.31441048034935,166.73779015478314,2830,66,1297.0105105105106,402.4144676741047,2830,66,1001.0513966480447,618.3522866708024,382359.5504310102,2888,5952,8,152,101923.89261744966,48986952.0,0.0,1787893.9660455238,91119960.0,48986952.0,0.0,399648.94736842107,3523483.9241487943,91067297.0,49039508.0,4.0,136943.3037593985,2075142.7650160969,11,35,0,0,6,6,0,46,137,0,0,2.908296943231441,1001.0513966480447,22304,501,48979879.0,174.0,4716114.052631579,11334956.088927992,48934452.0,5614.0,3586240.16,10071398.350639148,859.8333333333334,7.166666666666667,33122.916666666664,26.041666666666668,44666666.66666666666666666667,78189239.69705911281597324678,140.31441048034935,1297.0105105105106,0,229,666,32132,863809
5.203.253.63,10.2.0.4,3366,443,17,2022-05-07 01:13:49,93164426.0,8582.0847541099,8.157620162872039,1.5241869251681965,6.633433237703842,142,618,23141,776404,1292,60,162.96478873239437,193.18936969456558,1294,66,1256.31715210356,185.1186964544715,1294,60,1052.032894736842,465.25478613679996,216462.01602319945,1172,4956,8,141,122746.26877470355,92378100.0,-1.0,3350870.9451274443,93164426.0,92378100.0,0.0,660740.609929078,7751545.163921992,93111644.0,92485112.0,5.0,150910.28200972447,3720258.651392844,1,0,0,0,0,2,0,1,3,0,0,4.352112676056338,1052.032894736842,22304,64240,72454.0,8560.0,36438.77777777778,22363.773855539865,92356056.0,5786.0,7131234.538461538,24602297.694978364,857.8571428571429,6.428571428571429,25461.379310344826,20.689655172413794,61907216.49484536082474226804,112472201.0662604722010662605,162.96478873239437,1256.31715210356,0,142,618,23141,776404
5.203.255.68,10.2.0.4,4096,443,6,2022-05-07 01:12:32,171951157.0,5901.617748346992,5.542271518417291,1.0060996565437474,4.536171861873544,173,780,27862,986928,1292,60,161.0520231213873,189.9762463367659,2842,54,1265.2923076923078,184.7775355207881,2842,54,1064.8373557187829,464.3970826317832,215664.65035691127,1504,6300,8,171,180620.96323529413,151612553.0,0.0,4931032.916105155,171951157.0,151612553.0,0.0,999716.0290697674,11565567.880414236,20199110.0,19274562.0,5.0,25929.5378690629,690152.6908381074,2,2,0,0,0,3,1,4,13,0,0,4.508670520231214,1064.8373557187829,22304,501,11481399.0,3117.0,797050.8,2855640.7242655763,151584622.0,5683.0,7111665.869565218,30849062.892770644,766.9230769230769,6.769230769230769,33582.142857142855,27.214285714285715,9055404.178019981834695731153,114866845.8343513315416564867,161.0520231213873,1265.2923076923078,0,173,780,27862,986928
5.203.253.63,10.2.0.4,3434,443,6,2022-05-07 01:13:49,106487800.0,788.2874845756979,1.042372929105494,0.6573522976340952,0.38502063147139864,70,41,8063,75880,1134,60,115.18571428571428,183.10280428976375,2842,54,1850.7317073170732,1241.0441713879927,2842,54,756.2432432432432,1136.5175925299272,1291672.2381300218,1400,820,20,68,968070.9090909091,98984539.0,0.0,9410135.214263018,106487788.0,98984539.0,0.0,1543301.2753623188,11843984.790479785,106487779.0,105795886.0,4.0,2662194.475,16514640.285670986,8,30,0,0,0,4,1,38,109,0,0,0.5857142857142857,756.2432432432432,22304,501,98981554.0,19463.0,14174781.57142857,34622222.08954276,92225610.0,19256.0,9927569.6,27504527.765781004,40.5,6.75,12311.5,5.0,182535.2112676056338028169014,29365533.69111508646392367323,115.18571428571428,1850.7317073170732,0,70,41,8063,75880
5.203.253.63,10.2.0.4,3384,443,6,2022-05-07 01:12:36,188627093.0,77.01438732345835,0.1431395647919994,0.09012491116533297,0.05301465362666645,17,10,3408,11119,1292,60,200.47058823529412,367.80271528394434,2842,54,1111.9,1220.4925604033808,2842,54,538.0370370370371,911.3709039431664,830596.9245541841,328,200,8,16,7254888.192307692,181663105.0,0.0,34905788.75994429,188627093.0,181663105.0,0.0,11789193.3125,43891538.32793688,6910954.0,6763247.0,4.0,767883.7777777778,2119897.7060511294,3,5,0,0,2,2,0,8,25,0,0,0.5882352941176471,538.0370370370371,22304,501,6710218.0,14563.0,2257983.6666666665,3148236.7901516277,181610095.0,48741.0,47109264.0,77701883.4349335,54.0,9.0,10567.0,5.0,830769.2307692307692307692308,20842209.07297830374753451677,200.47058823529412,1111.9,0,17,10,3408,11119
5.203.253.63,10.2.0.4,3438,443,6,2022-05-07 01:13:49,126423852.0,1447.3930125147588,1.5740700576027378,1.0282869723032961,0.5457830852994418,130,69,8901,174084,580,60,68.46923076923076,63.5871526043694,2842,54,2522.9565217391305,759.8553339579997,2842,54,919.5226130653266,1251.9769766218394,1567446.3499911616,2600,1380,20,128,638504.303030303,119453176.0,0.0,8477975.21738805,126423852.0,119453176.0,0.0,980029.8604651163,10487454.85641333,352964.0,71986.0,4.0,5190.64705882353,15851.720160660896,3,59,0,0,0,3,1,62,197,0,0,0.5307692307692308,919.5226130653266,22304,501,39662.0,3278.0,25409.666666666668,15864.252988681466,112887946.0,33299.0,23905881.0,44561630.4628974,64.9090909090909,10.818181818181818,21743.0,8.333333333333334,202266.2889518413597733711048,25243421.05263157894736842105,68.46923076923076,2522.9565217391305,0,130,69,8901,174084
5.203.255.68,10.2.0.4,4072,443,6,2022-05-07 01:13:04,181378532.0,57.84587560781449,0.1212932961658329,0.07718664301462093,0.04410665315121196,14,8,1938,8554,571,60,138.42857142857142,176.81374958078433,2842,54,1069.25,1247.1631559262805,2842,54,476.90909090909093,886.5643548958534,785996.3553719006,280,160,20,12,8637072.952380951,174391842.0,0.0,37091387.49775318,181378532.0,174391842.0,0.0,13952194.76923077,46349130.1750101,207746.0,85702.0,6.0,29678.0,31700.116029530778,3,4,0,0,0,3,1,7,20,0,0,0.5714285714285714,476.90909090909093,22304,501,37167.0,128.0,19043.666666666668,15131.484270296229,167665466.0,19752.0,34889794.6,66437586.00788692,24.0,4.0,0,0,0,0,138.42857142857142,1069.25,0,14,8,1938,8554
5.203.253.63,10.2.0.4,3332,443,6,2022-05-07 01:13:59,126929096.0,622.3553345089608,0.772084597529947,0.49634009841210874,0.2757444991178382,63,35,6493,72502,619,60,103.06349206349206,142.8247758747708,2842,54,2071.4857142857145,1140.6568125784513,2842,54,806.0714285714286,1169.3535476440627,1367387.7193877553,1260,700,20,61,1308547.381443299,117492175.0,0.0,11891349.707086341,126929096.0,117492175.0,0.0,2047243.4838709678,14822850.15398914,560396.0,123262.0,3.0,16482.235294117647,33717.733450845764,6,27,0,0,0,3,1,33,96,0,0,0.5555555555555556,806.0714285714286,22304,501,58497.0,4718.0,29515.0,20678.69586797001,108668460.0,8691.0,14703789.25,35630324.78347083,57.6,9.6,14272.0,5.75,248062.0155038759689922480620,31212684.52706396938217605249,103.06349206349206,2071.4857142857145,0,63,35,6493,72502
85.75.109.194,10.2.0.4,53556,443,6,2022-05-07 01:12:26,0.0,0,0,0,0,1,0,60,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,1,0,60,0
85.75.109.194,10.2.0.4,53559,443,6,2022-05-07 01:12:26,0.0,0,0,0,0,1,0,60,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,1,0,60,0
85.75.109.194,10.2.0.4,53563,443,6,2022-05-07 01:12:26,0.0,0,0,0,0,1,0,60,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,1,0,60,0
85.75.109.194,10.2.0.4,53564,443,6,2022-05-07 01:12:26,0.0,0,0,0,0,1,0,60,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,1,0,60,0
