src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
5.203.165.59,10.0.0.4,2872,443,6,2022-05-01 20:44:49,203015026.0,0.6206437153080482,0.009851487544572194,0.009851487544572194,0.0,2,0,126,0,66,60,63.0,3.0,0,0,0,0.0,66,60,63.0,3.0,9.0,40,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.0,63.0,22304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.0,0,0,2,0,126,0
5.203.165.59,10.0.0.4,2858,443,6,2022-05-01 20:44:46,543793.0,324430.4358459929,842.2322464614293,822.0039610660675,20.22828539536184,447,11,26871,149552,93,60,60.11409395973154,1.7742763014412757,26316,54,13595.636363636364,10388.391836982166,26316,54,385.20305676855895,2624.214666518955,6886502.615973189,8940,220,20,447,1189.9190371991247,454028.0,0.0,21348.823879073603,543793.0,454028.0,0.0,1219.2668161434979,21614.114005758394,502523.0,500367.0,4.0,50252.3,150038.5613081184,2,9,0,0,2,0,0,11,458,0,0,0.024608501118568233,385.20305676855895,15097,501,449347.0,1188.0,225267.5,224079.5,421507.0,31333.0,163132.0,182711.15711417297,265.8,44.3,0,0,443961.9174878904292634040421,0,60.11409395973154,13595.636363636364,0,447,11,26871,149552
5.203.165.59,10.0.0.4,2907,443,17,2022-05-01 20:44:46,6919886.0,110.4064431119241,0.8670663071617076,0.5780442047744717,0.28902210238723586,4,2,555,209,332,73,138.75,111.57592706314387,140,69,104.5,35.5,332,69,127.33333333333333,94.76403443407327,8980.222222222224,32,16,8,4,1383977.2,5874823.0,231.0,2272377.4778074524,6919886.0,5874823.0,110128.0,2306628.6666666665,2545464.5610230407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,127.33333333333333,0,0,0,0,0,0,5790092.0,59565.0,2261530.6666666665,2520532.6119091487,0,0,0,0,0,0,138.75,104.5,0,4,2,555,209
5.203.250.215,10.0.0.4,2433,443,6,2022-05-01 20:44:48,0.0,0,0,0,0,1,0,60,0,60,60,60.0,0.0,0,0,0,0.0,60,60,60.0,0.0,0.0,20,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,1,0,60,0
85.75.109.194,10.0.0.4,54618,443,6,2022-05-01 20:44:49,8748683.0,127100.95908149832,69.95338612680331,26.518277093820863,43.43510903298245,232,380,17190,1094776,571,60,74.09482758620689,47.390796147068805,4410,54,2880.9894736842107,863.7255259049157,4410,54,1816.937908496732,1522.676075462266,2318542.4307851684,4640,7600,20,231,14318.630114566286,8166297.0,0.0,330098.97385058395,8748683.0,8166297.0,0.0,37873.08658008658,536030.1318541899,533191.0,79260.0,3.0,1406.8364116094988,6616.002462219842,39,342,0,0,0,2,1,381,611,0,0,1.6379310344827587,1816.937908496732,64240,501,46422.0,7665.0,29791.083333333332,10232.845241820847,8164647.0,10517.0,655676.1538461539,2167675.5729717934,264.0,5.428571428571429,16459.702702702703,5.675675675675675,193852.9319206965278506241477,49625896.34941329856584093872,74.09482758620689,2880.9894736842107,0,232,380,17190,1094776
85.75.109.194,10.0.0.4,57451,443,17,2022-05-01 20:44:49,178021.0,39203.240067183084,73.02509254526151,44.9385184893917,28.08657405586981,8,5,1940,5039,1292,76,242.5,397.0991689741997,1322,67,1007.8,486.06024317979353,1322,67,536.8461538461538,571.4273419259807,326529.20710059174,64,40,8,8,14835.083333333334,49357.0,0.0,20176.873326733643,178021.0,55596.0,0.0,25431.571428571428,22822.081912400685,100742.0,51172.0,4.0,25185.5,25186.948976602944,0,0,0,0,0,0,0,0,0,0,0,0.625,536.8461538461538,0,0,0,0,0,0,43128.0,6229.0,22880.0,13340.209649776873,0,0,0,0,0,0,242.5,1007.8,0,8,5,1940,5039
85.75.109.194,10.0.0.4,39472,443,6,2022-05-01 20:44:50,9904540.0,113146.29452756008,65.62647028534388,26.75540711633251,38.87106316901138,265,385,20976,1099686,1240,60,79.15471698113207,83.72895751654077,4386,66,2856.327272727273,692.1123187198236,4386,60,1724.0953846153845,1465.9602083413577,2149039.332440237,5300,7700,20,24,15261.232665639445,9249392.0,0.0,362786.8815217342,9904540.0,9249392.0,0.0,37517.19696969697,568085.4030978241,9848839.0,9298826.0,3.0,25648.018229166668,473876.9511492048,22,360,0,0,2,2,2,382,647,0,0,1.4528301886792452,1724.0953846153845,64240,501,45142.0,8233.0,26376.428571428572,11341.11685552231,9246267.0,10541.0,641244.1333333333,2299814.23830111,348.3333333333333,4.333333333333333,37329.230769230766,12.923076923076923,549421.6614090431125131440589,22471348.19754115440716816003,79.15471698113207,2856.327272727273,0,265,385,20976,1099686
85.75.109.194,10.0.0.4,49592,443,17,2022-05-01 20:44:50,9666618.0,738.0037154669814,1.5517319500987834,0.93103917005927,0.6206927800395133,9,6,2033,5101,1292,76,225.88888888888889,377.3252191249007,1322,63,850.1666666666666,566.6734558416827,1322,63,475.6,554.4416771251358,307405.5733333333,72,48,8,9,690472.7142857143,9452956.0,5.0,2430396.362430517,9666618.0,9452956.0,25.0,1208327.25,3116296.9854894187,123406.0,50854.0,5.0,24681.2,22004.630788995302,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,475.6,0,0,0,0,0,0,9373153.0,5786.0,2373883.0,4041104.8226256766,0,0,0,0,0,0,225.88888888888889,850.1666666666666,0,9,6,2033,5101
85.75.109.194,10.0.0.4,53865,443,6,2022-05-01 20:45:00,9677028.0,114420.46049675583,55.285569081747,14.363914210023987,40.921654871723014,139,396,11610,1095640,571,60,83.5251798561151,59.395556229298805,2958,54,2766.7676767676767,646.6311155220334,2958,54,2069.626168224299,1301.9238469436136,1695005.7032404577,2780,7920,20,138,18121.775280898877,8952470.0,0.0,387039.0617264514,9677028.0,8952470.0,0.0,70123.39130434782,758959.7748206159,649479.0,99479.0,3.0,1644.2506329113924,8084.142701342188,39,363,0,0,0,2,1,402,534,0,0,2.8489208633093526,2069.626168224299,64240,501,46890.0,6147.0,28806.0,13457.356840882876,8946524.0,5055.0,550338.4705882353,2099103.8401795384,304.0,4.833333333333333,25605.41176470588,9.029411764705882,304304.3043043043043043043043,30008755.29971390162352211230,83.5251798561151,2766.7676767676767,0,139,396,11610,1095640
85.75.109.194,10.0.0.4,54254,443,17,2022-05-01 20:45:01,234297.0,35198.91419864531,59.75321920468465,34.14469668839123,25.608522516293423,8,6,3146,5101,1292,76,393.25,519.2002864983801,1322,63,850.1666666666666,566.6734558416827,1322,63,589.0714285714286,585.4825194762393,342789.7806122449,64,48,8,8,18022.846153846152,66005.0,3.0,24124.167533971005,234297.0,66005.0,277.0,33471.0,26570.360947061723,160800.0,81989.0,3.0,32160.0,31852.30436247902,0,0,0,0,0,0,0,0,0,0,0,0.75,589.0714285714286,0,0,52437.0,17376.0,40438.333333333336,16311.999066808323,64730.0,5774.0,36305.8,23733.56779247486,0,0,0,0,0,0,393.25,850.1666666666666,0,8,6,3146,5101
