src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.0.4,85.75.109.194,443,39764,17,2022-05-01 21:06:04,16000851.0,307.29615568571944,0.4999734076643798,0.4999734076643798,0.0,8,0,4917,0,1514,76,614.625,589.0634383281651,0,0,0,0.0,1514,76,614.625,589.0634383281651,346995.734375,64,0,8,8,2285835.8571428573,12800280.0,4.0,4432271.829564686,16000851.0,12800280.0,4.0,2285835.8571428573,4432271.829564686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,614.625,0,0,0,0,0,0,9599751.0,3200529.0,6400140.0,3199611.0,0,0,0,0,0,0,614.625,0,0,8,0,4917,0
10.0.0.4,85.75.109.194,443,36854,17,2022-05-01 21:06:04,2973841.0,1914.6955065855907,2.017592736128125,2.017592736128125,0.0,6,0,5694,0,1294,259,949.0,487.9036790187178,0,0,0,0.0,1294,259,949.0,487.9036790187178,238050.0,48,0,8,6,594768.2,2973819.0,4.0,1189525.4000009245,2973841.0,2973819.0,4.0,594768.2,1189525.4000009245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.0,0,0,6,0,5694,0
10.0.0.4,85.75.109.194,443,33328,17,2022-05-01 21:06:04,5620303.0,1013.1126382332056,1.0675581014048532,1.0675581014048532,0.0,6,0,5694,0,1294,259,949.0,487.9036790187178,0,0,0,0.0,1294,259,949.0,487.9036790187178,238050.0,48,0,8,6,1124060.6,5620285.0,3.0,2248112.2000004007,5620303.0,5620285.0,3.0,1124060.6,2248112.2000004007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,949.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949.0,0,0,6,0,5694,0
85.75.109.194,10.0.0.4,47976,443,17,2022-05-01 21:06:05,770201.0,92536.88322918303,107.76407716946615,27.26560988625047,80.49846728321567,21,62,3346,67926,1322,71,159.33333333333334,268.9126842416172,1514,74,1095.5806451612902,429.69203331730273,1514,71,858.6987951807229,567.347872183229,321883.6080708376,168,496,8,21,9392.69512195122,272676.0,2.0,35220.34594007783,770201.0,299321.0,308.0,38510.05,69748.0531939602,620935.0,278073.0,2.0,10179.262295081968,37916.6743145907,0,0,0,0,0,0,0,0,0,0,0,2.9523809523809526,858.6987951807229,0,0,270423.0,32473.000000000004,90968.8,90154.14331110912,246066.0,7841.0,59579.8,72057.03042146546,0,0,6761.75,5.75,0,275989795.9183673469387755102,159.33333333333334,1095.5806451612902,0,21,62,3346,67926
85.75.109.194,10.0.0.4,35183,443,17,2022-05-01 21:06:05,745488.0,14803.725881570192,33.53508037688064,14.755435365827484,18.779645011053162,11,14,2573,8463,1322,85,233.9090909090909,355.41920307906173,1294,89,604.5,529.7945356456595,1322,85,441.44,496.592475174564,246604.08639999997,88,112,8,11,31062.0,363043.0,0.0,76629.29705623908,745488.0,397631.0,0.0,74548.8,116018.0451626384,651577.0,363458.0,3.0,50121.307692307695,97761.87462509614,0,0,0,0,0,0,0,0,0,0,0,1.2727272727272727,441.44,0,0,362039.0,32141.999999999996,197090.5,164948.5,328497.0,6449.0,120159.75,123621.93349760996,0,0,0,0,0,0,233.9090909090909,604.5,0,11,14,2573,8463
85.75.109.194,10.0.0.4,47233,443,17,2022-05-01 21:06:05,696528.0,30690.797785587944,47.37785128523189,17.22830955826614,30.149541726965747,12,21,2651,18726,1322,77,220.91666666666666,343.00739990398006,1294,89,891.7142857142857,522.5742273871261,1322,77,647.7878787878788,566.2941605002762,320689.0762167126,96,168,8,12,21766.5,325186.0,0.0,60891.072711851615,696528.0,372288.0,0.0,63320.72727272727,104996.03422908271,508231.0,325554.0,3.0,25411.55,72179.43963309427,0,0,0,0,0,0,0,0,0,0,0,1.75,647.7878787878788,0,0,248587.0,10058.0,110720.33333333333,100870.02453432613,278155.0,6076.0,87465.8,97789.6652482255,0,0,10016.0,8.0,0,370962962.9629629629629629630,220.91666666666666,891.7142857142857,0,12,21,2651,18726
85.75.109.194,10.0.0.4,43444,443,17,2022-05-01 21:06:05,804959.0,26759.126862361936,43.48047540309506,16.14989086400674,27.330584539088328,13,22,2725,18815,1322,75,209.6153846153846,331.8680318026194,1294,89,855.2272727272727,537.2413484914629,1322,75,615.4285714285714,565.371346270461,319644.7591836735,104,176,8,13,23675.264705882353,498320.0,3.0,85392.17735053501,804959.0,527507.0,239.0,67079.91666666667,142234.8294525983,650889.0,498570.0,3.0,30994.714285714286,106112.68048193498,0,0,0,0,0,0,0,0,0,0,0,1.6923076923076923,615.4285714285714,0,0,0,0,0,0,469235.0,5567.0,139343.25,191252.00384097287,0,0,10016.0,8.0,0,370962962.9629629629629629630,209.6153846153846,855.2272727272727,0,13,22,2725,18815
10.0.0.4,85.75.109.194,443,42657,17,2022-05-01 21:06:06,0.0,0,0,0,0,1,0,259,0,259,259,259.0,0.0,0,0,0,0.0,259,259,259.0,0.0,0.0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.0,0,0,1,0,259,0
85.75.109.194,10.0.0.4,57654,443,17,2022-05-01 21:06:06,902360.0,23864.08972028902,38.78718028281395,14.406666962188039,24.380513320625912,13,22,2719,18815,1322,75,209.15384615384616,332.04908028178056,1294,89,855.2272727272727,537.2413484914629,1322,75,615.2571428571429,565.5338990904154,319828.59102040814,104,176,8,13,26540.0,502936.0,3.0,86911.5239549766,902360.0,531013.0,355.0,75196.66666666667,142060.8476600393,749885.0,503202.99999999994,3.0,35708.80952380953,107572.1148698991,0,0,0,0,0,0,0,0,0,0,0,1.6923076923076923,615.2571428571429,0,0,60027.0,57069.0,58548.0,1479.0,481202.0,5464.0,124006.4,179950.894042347,0,0,10016.0,8.0,0,227636363.6363636363636363636,209.15384615384616,855.2272727272727,0,13,22,2719,18815
85.75.109.194,10.0.0.4,55896,443,17,2022-05-01 21:06:06,5406520.0,1848.508837477712,3.6992372172857952,1.1097711651857387,2.589466052100057,6,14,1776,8218,1322,90,296.0,458.8416575101553,1294,89,587.0,532.8466678403566,1322,89,499.7,528.8587807723343,279691.61,48,112,8,6,284553.6842105263,2995251.0,3.0,734487.0781703846,133716.0,68910.0,815.0,26743.2,31617.942750280257,5400160.0,2995251.0,3.0,415396.92307692306,856879.9553336118,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335,499.7,0,0,61344.0,32687.0,47015.5,14328.5,1496512.0,6360.0,514880.3333333333,537922.1577058235,0,0,0,0,0,0,296.0,587.0,0,6,14,1776,8218
