src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
5.203.228.219,10.0.0.5,2155,443,17,2022-05-03 01:52:16,138472780.0,10.62302641717744,0.021664907716881253,0.014443271811254169,0.007221635905627084,2,1,1386,85,1292,94,693.0,599.0,85,85,85.0,0.0,1292,85,490.3333333333333,566.8758437455439,321348.22222222225,16,8,8,2,69236390.0,138472685.0,95.0,69236295.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,490.3333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.0,85.0,0,2,1,1386,85
5.203.228.219,10.0.0.5,2104,443,6,2022-05-03 01:52:16,200416506.0,2298.3386408303118,1.8711033710965903,1.671519011512954,0.1995843595836363,335,40,24398,436227,1448,60,72.82985074626866,114.96643639337809,62784,54,10905.675,14977.161380561238,62784,54,1228.3333333333333,5926.295764772085,35120981.49155555,6700,800,20,332,535872.9679144385,123346093.0,-4.0,7318056.4155658875,200416506.0,123346093.0,0.0,600049.4191616767,7741390.068477169,70377450.0,69843279.0,14.0,1804550.0,11037368.437127275,8,32,0,0,1,3,2,40,373,0,0,0.11940298507462686,1228.3333333333333,831,16384,69837868.0,495.0,23284885.0,32917930.59549784,116695582.0,16266.0,38640149.6,47062283.06875686,179.0,28.636363636363637,85951.5,9.0,3081377.151799687010954616588,350822448.9795918367346938776,72.82985074626866,10905.675,0,335,40,24398,436227
5.203.228.219,10.0.0.5,2110,443,6,2022-05-03 01:52:22,221022153.0,2098.1561970396697,1.732857972838587,1.5473562055112187,0.1855017673273683,342,41,26908,436831,1448,66,78.67836257309942,113.5431831687947,62256,66,10654.414634146342,14045.308955567578,62256,66,1210.8067885117493,5640.978675458489,31820640.416977417,6840,820,20,8,578592.0235602094,213898279.0,0.0,10933741.823672578,221022153.0,213898279.0,0.0,648158.8064516129,11570448.77781487,7081817.0,6540895.0,11.0,177045.425,1019342.4861550187,7,34,0,0,2,3,0,41,381,0,0,0.11988304093567251,1210.8067885117493,22304,16383,6456251.0,222.0,828313.625,2127198.528404139,213856327.0,7093.0,20047708.0,61315282.0613861,0,0,143005.5,10.5,0,409171673.8197424892703862661,78.67836257309942,10654.414634146342,0,342,41,26908,436831
5.203.215.191,10.0.0.5,3054,443,17,2022-05-03 01:52:14,86886.0,3372.234882489699,46.03733627972285,23.018668139861425,23.018668139861425,2,2,146,147,73,73,73.0,0.0,75,72,73.5,1.5,75,72,73.25,1.0897247358851685,1.1875,16,16,8,2,28962.0,86637.0,84.0,40782.39701145581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,73.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,73.5,0,2,2,146,147
5.203.228.219,10.0.0.5,2102,443,6,2022-05-03 01:52:16,41531.0,4767.5230550672995,72.23519780404999,48.15679853603333,24.078399268016664,2,1,132,66,66,66,66.0,0.0,66,66,66.0,0.0,66,66,66.0,0.0,0.0,40,20,20,0,20765.5,41239.0,292.0,20473.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0.5,66.0,4981,16379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,0,2,1,132,66
85.75.109.194,10.0.0.5,57327,443,6,2022-05-03 01:52:17,10148924.0,43925.050576790214,12.710707066088977,8.276739484895149,4.433967581193829,84,45,9140,436652,571,60,108.80952380952381,83.58934145293374,62490,54,9703.377777777778,13416.23613767022,62490,54,3455.751937984496,9148.993604188003,83704083.96947299,1680,900,20,83,79288.46875,9514387.0,0.0,837349.3703060582,10148924.0,9514387.0,0.0,122276.19277108433,1037328.1503035361,562295.0,88555.0,25.0,12779.431818181818,23425.921722816653,39,25,0,0,0,2,1,64,128,0,0,0.5357142857142857,3455.751937984496,64240,16381,57117.0,21178.0,42440.375,12099.136662769579,9510826.0,24473.0,1094878.888888889,2975500.447017478,770.0,10.666666666666666,0,0,356646.5956461324687355257063,0,108.80952380952381,9703.377777777778,0,84,45,9140,436652
85.75.109.194,10.0.0.5,54754,443,17,2022-05-03 01:52:17,759229.0,180011.5643633212,218.64286005934966,80.34466544349597,138.2981946158537,61,105,7736,128934,1292,76,126.81967213114754,221.3668054696253,1514,68,1227.942857142857,278.62758310696233,1514,68,823.3132530120482,590.7068346677164,348934.5645231529,488,840,8,61,4601.387878787878,203692.0,0.0,19045.695713392193,759229.0,203692.0,0.0,12653.816666666668,30898.06443964393,659028.0,293545.0,0.0,6336.807692307692,30076.007210283384,0,0,0,0,0,0,0,0,0,0,0,1.721311475409836,823.3132530120482,0,0,196039.0,5073.0,36174.9,56036.61612454842,114165.0,6253.0,29892.35714285714,33342.85212671342,193.66666666666666,5.666666666666667,9903.444444444445,8.11111111111111,133563.2183908045977011494253,0,126.81967213114754,1227.942857142857,0,61,105,7736,128934
85.75.109.194,10.0.0.5,57325,443,6,2022-05-03 01:52:19,8398658.0,265.28047695238934,1.3097330549714015,0.8334664895272555,0.476266565444146,7,4,1487,741,571,60,212.42857142857142,218.91411045225485,345,66,185.25,101.0553684867855,571,60,202.54545454545453,185.42156569502208,34381.15702479339,140,80,20,6,839865.8,8130920.0,91.0,2430580.3463898413,8398658.0,8130920.0,189.0,1399776.3333333333,3010404.0444666045,165927.0,56633.0,53826.0,55309.0,1151.45502155606,3,3,0,0,0,2,1,6,10,0,0,0.5714285714285714,202.54545454545453,64240,16381,0,0,0,0,8029200.0,48573.0,2045762.5,3454539.950150128,0,0,0,0,0,0,212.42857142857142,185.25,0,7,4,1487,741
5.203.228.219,10.0.0.5,2115,443,17,2022-05-03 01:52:22,6761463.0,20228.314493475747,22.036650943738064,8.87381917197506,13.162831771763004,60,89,8880,127893,1292,76,148.0,267.88791188355873,1514,71,1437.0,299.6002955249739,1514,71,917.9395973154362,694.376425660167,482158.6205125894,480,712,8,60,45685.56081081081,5929971.0,0.0,485594.3132929473,6761363.0,5929971.0,0.0,114599.37288135593,763990.387140427,6760862.0,6014747.0,0.0,76827.97727272728,637099.5822024568,0,0,0,0,0,0,0,0,0,0,0,1.4833333333333334,917.9395973154362,0,0,94037.0,2071.0,28817.7,29081.726465428423,5845295.0,5193.0,414141.06666666665,1451718.8912157188,811.0,4.5,9042.75,6.5,10012345.67901234567901234568,0,148.0,1437.0,0,60,89,8880,127893
85.75.109.194,10.0.0.5,34684,443,17,2022-05-03 01:52:22,646471.0,26839.564342406695,63.42125168801075,30.937195945371098,32.484055742639654,20,21,5195,12156,1399,73,259.75,388.83671058684774,1514,72,578.8571428571429,593.8422337956907,1514,72,423.1951219512195,528.9803915178246,279820.254610351,160,168,8,20,16161.775,179633.0,0.0,34518.20738790436,646471.0,179633.0,0.0,34024.78947368421,43991.58926500544,574259.0,234806.0,0.0,28712.95,55243.16691453795,0,0,0,0,0,0,0,0,0,0,0,1.05,423.1951219512195,0,0,178209.0,25596.0,69257.5,50804.07491120504,124773.0,44602.0,60916.875,24963.754933089993,0,0,4294.0,4.0,0,0,259.75,578.8571428571429,0,20,21,5195,12156
