src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.0.0.4,5.203.250.215,443,2446,6,2022-05-01 22:06:00,114634573.0,119.36189617071282,0.27042452541782486,0.113403833239733,0.15702069217809186,13,18,10171,3512,2830,66,782.3846153846154,971.1364903247313,1292,60,195.11111111111111,311.44678319968585,2830,60,441.38709677419354,731.9820056584043,535797.6566077003,236,348,8,7,3821152.433333333,67379708.0,0.0,13318201.829714933,114634573.0,70431307.0,6.0,9552881.083333334,21127079.34231913,114589006.0,67379708.0,0.0,6740529.764705882,17128122.15593728,5,3,0,0,2,2,2,8,27,0,0,1.3846153846153846,441.38709677419354,502,0,34056218.0,62559.0,13277145.666666666,14872979.876338935,64373838.0,28647.0,13401393.125,21403499.073596783,0,0,0,0,0,0,782.3846153846154,195.11111111111111,0,13,18,10171,3512
10.0.0.4,5.203.250.215,443,2444,6,2022-05-01 22:06:00,125448058.0,195.0289258363808,0.40654276210477486,0.15942853415873523,0.24711422794603963,20,31,19673,4793,2830,66,983.65,1197.062917101687,629,60,154.61290322580646,197.29259054794645,2830,60,479.72549019607845,865.7003303102462,749437.0618992692,400,620,20,12,2508961.16,77913100.0,0.0,11798240.331810469,44182015.0,38214248.0,7.0,2325369.210526316,8548133.460648203,125408304.0,77913100.0,0.0,4180276.8,15000954.965588909,12,6,0,0,2,3,2,18,49,0,0,1.55,479.72549019607845,501,22304,33817307.0,15013.0,9830454.5,14025965.562455771,74599555.0,7611.0,11723491.8,22623931.410720628,0,0,0,0,0,0,983.65,154.61290322580646,0,20,31,19673,4793
85.75.109.194,10.0.0.4,50993,443,17,2022-05-01 22:06:34,91389403.0,314.0189021696531,0.623704698016246,0.2735546921123886,0.35015000590385736,25,32,5641,23057,1322,75,225.64,334.95538568591496,1294,74,720.53125,550.53729349013,1322,74,503.4736842105263,528.83911609391,279670.810710988,200,256,8,25,1631953.625,90239422.0,0.0,11947972.40089198,91389403.0,90239422.0,0.0,3807891.7916666665,18022449.40403173,91224233.0,90312084.0,3.0,2942717.193548387,15951568.028486114,0,0,0,0,0,0,0,0,0,0,0,1.28,503.4736842105263,0,0,90232982.0,52357.0,12995442.857142856,31532309.44593912,90235076.0,8211.0,7583880.666666667,24920461.1403392,0,0,6260.0,5.0,0,3.9125E+8,225.64,720.53125,0,25,32,5641,23057
5.203.250.215,10.0.0.4,2483,443,6,2022-05-01 22:06:07,137921124.0,296.43754933435724,0.4495322993452403,0.2827703173300705,0.16676198201516979,39,23,4566,36319,627,60,117.07692307692308,163.30345900765812,2842,54,1579.0869565217392,1325.6789208304608,2842,54,659.4354838709677,1080.5108651506641,1167503.7297086369,780,460,20,37,2261002.0327868853,128468209.0,0.0,16313202.018282246,137921124.0,128468209.0,0.0,3629503.263157895,20548432.802866146,5958486.0,5437721.0,6.0,270840.2727272727,1128338.5386889628,5,16,0,0,1,3,1,21,60,0,0,0.5897435897435898,659.4354838709677,22304,501,5358522.0,611.0,937854.3333333334,1977390.7783161853,125013552.0,16580.0,12190373.909090908,35718756.64434145,30.0,5.0,13940.0,5.0,358851.6746411483253588516746,30977777.77777777777777777778,117.07692307692308,1579.0869565217392,0,39,23,4566,36319
5.203.250.215,10.0.0.4,2478,443,6,2022-05-01 22:06:55,90034366.0,485.4590745938056,0.8663358611310708,0.5331297606960436,0.3332061004350272,48,30,5963,37745,638,60,124.22916666666667,161.13351601277398,2842,54,1258.1666666666667,1300.993622411561,2842,54,560.3589743589744,985.5488770660376,971306.5890861276,960,600,20,15,1169277.4805194805,49739436.0,0.0,6098032.368219162,90034342.0,49739436.0,0.0,1915624.2978723405,7714208.409526613,90034357.0,54723702.0,5.0,3104633.0,10819655.497484315,8,17,0,0,2,6,2,25,75,0,0,0.625,560.3589743589744,22304,501,49726764.0,205.0,11299761.57142857,16990563.58716916,44795064.0,15658.0,7200179.636363637,12611267.022546446,24.0,4.0,13820.0,5.0,2.4E+7,31266968.32579185520361990950,124.22916666666667,1258.1666666666667,0,48,30,5963,37745
5.203.250.215,10.0.0.4,2482,443,6,2022-05-01 22:06:55,90011866.0,303.5488676570709,0.677688428323439,0.41105691554044665,0.2666315127829924,37,24,5171,22152,587,60,139.75675675675674,175.2421344813783,2842,54,923.0,1159.4442274929254,2842,54,447.91803278688525,833.029613845553,693938.337543671,740,480,20,15,1500197.7666666666,49747573.0,0.0,6872956.388083949,90011817.0,49747573.0,0.0,2500328.25,8732131.515493082,90011856.0,54631568.0,5.0,3913558.9565217393,11994313.589383127,8,11,0,0,2,6,2,19,58,0,0,0.6486486486486487,447.91803278688525,22304,501,49737760.0,267.0,9917071.25,16320961.029940452,44903149.0,5539.0,6619678.916666667,12269266.00690951,24.0,4.0,0,0,0,0,139.75675675675674,923.0,0,37,24,5171,22152
5.203.250.215,10.0.0.4,2480,443,6,2022-05-01 22:06:55,90090943.0,276.7425799949724,0.6881934846658226,0.4106961118167006,0.277497372849122,37,25,5787,19145,638,60,156.40540540540542,196.08002495664317,2842,54,765.8,1099.4257410120977,2842,54,402.1290322580645,774.4035682875452,599700.8865764828,740,500,20,18,1476900.7049180327,49739436.0,0.0,6817913.691322589,90090943.0,49739436.0,0.0,2502526.1944444445,8730351.966452865,90051179.0,54623395.0,5.0,3752132.4583333335,11772934.892510707,9,11,0,0,2,6,2,20,59,0,0,0.6756756756756757,402.1290322580645,22304,501,49726577.0,160.0,9903461.375,16322242.556031961,44895012.0,5005.0,6611031.5,12261646.850800421,24.0,4.0,0,0,0,0,156.40540540540542,765.8,0,37,25,5787,19145
85.75.109.194,10.0.0.4,58596,443,17,2022-05-01 22:06:53,111078487.0,298.14954177400705,0.5761691730640875,0.24307136988641195,0.3330978031776756,27,37,5798,27320,1322,75,214.74074074074073,324.37285274734586,1294,89,738.3783783783783,551.5939728494654,1322,75,517.46875,535.8751886152572,287162.2177734375,216,296,8,27,1763150.5873015872,110382461.0,0.0,13794683.635279158,111078487.0,110382461.0,0.0,4272249.5,21222067.74695613,110970553.0,110469281.0,3.0,3082515.361111111,18151693.91135649,0,0,0,0,0,0,0,0,0,0,0,1.3703703703703705,517.46875,0,0,110377138.0,13099.0,15816261.57142857,38604321.62678726,110348262.0,5435.0,9229312.583333334,30488515.990599245,0,0,10016.0,8.0,0,303515151.5151515151515151515,214.74074074074073,738.3783783783783,0,27,37,5798,27320
85.75.109.194,10.0.0.4,36891,443,17,2022-05-01 22:07:13,92151646.0,1552.8100279402497,1.833933601142621,0.5100288713236875,1.3239047298189335,47,122,7526,135568,1322,71,160.12765957446808,254.7006266873875,1514,75,1111.2131147540983,414.933734182254,1514,71,846.7100591715977,569.1511108134932,323932.9869402332,376,976,8,47,548521.7023809524,91421492.0,0.0,7031971.60651376,92151646.0,91421492.0,0.0,2003296.652173913,13329695.900899531,92129151.0,91481364.0,3.0,761397.9421487603,8281574.726252515,0,0,0,0,0,0,0,0,0,0,0,2.595744680851064,846.7100591715977,0,0,91415136.0,6407.0,10188121.666666666,28718091.66509668,91398070.0,5565.0,5396377.882352941,21500428.537551057,0,0,8085.428571428572,7.142857142857143,0,134118483.4123222748815165877,160.12765957446808,1111.2131147540983,0,47,122,7526,135568
5.203.250.215,10.0.0.4,2500,443,17,2022-05-01 22:06:18,159438288.0,8588.683541308472,8.084632720090422,2.1889346930268094,5.895698027063612,349,940,39112,1330253,1292,74,112.06876790830945,126.54297377097974,1514,63,1415.1627659574467,256.8405542661706,1514,63,1062.3467804499612,622.6677982345119,387715.18695821485,2804,7520,8,348,123787.49068322981,130622813.0,0.0,3667259.975539877,159438288.0,158540513.0,0.0,458156.0,8486310.133278245,28810432.0,15001013.0,2.0,30682.036208732694,544935.7156338661,0,0,0,0,0,1,0,0,0,0,0,2.693409742120344,1062.3467804499612,22304,0,14835464.0,2772.0,891504.3529411765,3486050.366928064,124221687.0,5043.0,5606861.038461538,23900309.234885104,617.32,8.16,7325.126865671642,5.08955223880597,7594980.314960629921259842520,207827016.7266567859411391065,112.06876790830945,1415.1627659574467,0,349,940,39112,1330253
